HourUTC;HourDK;MunicipalityNo;Branche;ConsumptionkWh
2020-12-31 23:00:00;2021-01-01 00:00:00;329;Erhverv;8206,228000
2021-01-01 00:00:00;2021-01-01 01:00:00;329;Erhverv;8079,453000
2021-01-01 01:00:00;2021-01-01 02:00:00;329;Erhverv;8200,677000
2021-01-01 02:00:00;2021-01-01 03:00:00;329;Erhverv;8084,761000
2021-01-01 03:00:00;2021-01-01 04:00:00;329;Erhverv;8296,188000
2021-01-01 04:00:00;2021-01-01 05:00:00;329;Erhverv;8421,963000
2021-01-01 05:00:00;2021-01-01 06:00:00;329;Erhverv;8199,151000
2021-01-01 06:00:00;2021-01-01 07:00:00;329;Erhverv;8420,906000
2021-01-01 07:00:00;2021-01-01 08:00:00;329;Erhverv;8370,072000
2021-01-01 08:00:00;2021-01-01 09:00:00;329;Erhverv;8466,064000
2021-01-01 09:00:00;2021-01-01 10:00:00;329;Erhverv;8572,804000
2021-01-01 10:00:00;2021-01-01 11:00:00;329;Erhverv;8742,265000
2021-01-01 11:00:00;2021-01-01 12:00:00;329;Erhverv;8823,456000
2021-01-01 12:00:00;2021-01-01 13:00:00;329;Erhverv;8898,542000
2021-01-01 13:00:00;2021-01-01 14:00:00;329;Erhverv;9002,308000
2021-01-01 14:00:00;2021-01-01 15:00:00;329;Erhverv;9021,868000
2021-01-01 15:00:00;2021-01-01 16:00:00;329;Erhverv;9405,358000
2021-01-01 16:00:00;2021-01-01 17:00:00;329;Erhverv;9323,053000
2021-01-01 17:00:00;2021-01-01 18:00:00;329;Erhverv;9729,726000
2021-01-01 18:00:00;2021-01-01 19:00:00;329;Erhverv;9258,618000
2021-01-01 19:00:00;2021-01-01 20:00:00;329;Erhverv;8858,590000
2021-01-01 20:00:00;2021-01-01 21:00:00;329;Erhverv;8713,472000
2021-01-01 21:00:00;2021-01-01 22:00:00;329;Erhverv;8666,886000
2021-01-01 22:00:00;2021-01-01 23:00:00;329;Erhverv;8626,826000
2021-01-01 23:00:00;2021-01-02 00:00:00;329;Erhverv;8484,672000
2021-01-02 00:00:00;2021-01-02 01:00:00;329;Erhverv;8299,275000
2021-01-02 01:00:00;2021-01-02 02:00:00;329;Erhverv;8060,566000
2021-01-02 02:00:00;2021-01-02 03:00:00;329;Erhverv;7875,867000
2021-01-02 03:00:00;2021-01-02 04:00:00;329;Erhverv;8340,330000
2021-01-02 04:00:00;2021-01-02 05:00:00;329;Erhverv;8464,408000
2021-01-02 05:00:00;2021-01-02 06:00:00;329;Erhverv;8560,079000
2021-01-02 06:00:00;2021-01-02 07:00:00;329;Erhverv;8838,326000
