# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 55.422, 11.890 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Copenhagen, electricity in kW
# {"units": {"time": "UTC", "local_time": "Europe/Copenhagen", "electricity": "kW"}, "params": {"local_time": "true", "header": "true", "lat": "55.42193482188724", "lon": "11.890203805948472", "date_from": "2023-01-01", "date_to": "2023-12-31", "dataset": "merra2", "capacity": "100000", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": "false"}}
time,local_time,electricity
2023-01-01 00:00,2023-01-01 01:00,0
2023-01-01 01:00,2023-01-01 02:00,0
2023-01-01 02:00,2023-01-01 03:00,0
2023-01-01 03:00,2023-01-01 04:00,0
2023-01-01 04:00,2023-01-01 05:00,0
2023-01-01 05:00,2023-01-01 06:00,0
2023-01-01 06:00,2023-01-01 07:00,0
2023-01-01 07:00,2023-01-01 08:00,0
2023-01-01 08:00,2023-01-01 09:00,418.703
2023-01-01 09:00,2023-01-01 10:00,4196.679
2023-01-01 10:00,2023-01-01 11:00,17310.762
2023-01-01 11:00,2023-01-01 12:00,19555.337
2023-01-01 12:00,2023-01-01 13:00,12414.667
2023-01-01 13:00,2023-01-01 14:00,7217.757
2023-01-01 14:00,2023-01-01 15:00,523.460
2023-01-01 15:00,2023-01-01 16:00,0
2023-01-01 16:00,2023-01-01 17:00,0
2023-01-01 17:00,2023-01-01 18:00,0
2023-01-01 18:00,2023-01-01 19:00,0
2023-01-01 19:00,2023-01-01 20:00,0
2023-01-01 20:00,2023-01-01 21:00,0
2023-01-01 21:00,2023-01-01 22:00,0
2023-01-01 22:00,2023-01-01 23:00,0
2023-01-01 23:00,2023-01-02 00:00,0
2023-01-02 00:00,2023-01-02 01:00,0
2023-01-02 01:00,2023-01-02 02:00,0
2023-01-02 02:00,2023-01-02 03:00,0
2023-01-02 03:00,2023-01-02 04:00,0
2023-01-02 04:00,2023-01-02 05:00,0
2023-01-02 05:00,2023-01-02 06:00,0
2023-01-02 06:00,2023-01-02 07:00,0
2023-01-02 07:00,2023-01-02 08:00,0
2023-01-02 08:00,2023-01-02 09:00,0
2023-01-02 09:00,2023-01-02 10:00,540.477
2023-01-02 10:00,2023-01-02 11:00,1608.455
2023-01-02 11:00,2023-01-02 12:00,2456.628
2023-01-02 12:00,2023-01-02 13:00,2503.309
2023-01-02 13:00,2023-01-02 14:00,1912.520
2023-01-02 14:00,2023-01-02 15:00,127.610
2023-01-02 15:00,2023-01-02 16:00,0
2023-01-02 16:00,2023-01-02 17:00,0
2023-01-02 17:00,2023-01-02 18:00,0
2023-01-02 18:00,2023-01-02 19:00,0
2023-01-02 19:00,2023-01-02 20:00,0
2023-01-02 20:00,2023-01-02 21:00,0
2023-01-02 21:00,2023-01-02 22:00,0
2023-01-02 22:00,2023-01-02 23:00,0
2023-01-02 23:00,2023-01-03 00:00,0
2023-01-03 00:00,2023-01-03 01:00,0
2023-01-03 01:00,2023-01-03 02:00,0
2023-01-03 02:00,2023-01-03 03:00,0
