time,local_time,electricity
01/01/2019 00.00,01/01/2019 01.00,0
01/01/2019 01.00,01/01/2019 02.00,0
01/01/2019 02.00,01/01/2019 03.00,0
01/01/2019 03.00,01/01/2019 04.00,0
01/01/2019 04.00,01/01/2019 05.00,0
01/01/2019 05.00,01/01/2019 06.00,0
01/01/2019 06.00,01/01/2019 07.00,0
01/01/2019 07.00,01/01/2019 08.00,0
01/01/2019 08.00,01/01/2019 09.00,153.434
01/01/2019 09.00,01/01/2019 10.00,431.405
01/01/2019 10.00,01/01/2019 11.00,814.363
01/01/2019 11.00,01/01/2019 12.00,1252.523
01/01/2019 12.00,01/01/2019 13.00,1594.558
01/01/2019 13.00,01/01/2019 14.00,735.645
01/01/2019 14.00,01/01/2019 15.00,28.434
01/01/2019 15.00,01/01/2019 16.00,0
01/01/2019 16.00,01/01/2019 17.00,0
01/01/2019 17.00,01/01/2019 18.00,0
01/01/2019 18.00,01/01/2019 19.00,0
01/01/2019 19.00,01/01/2019 20.00,0
01/01/2019 20.00,01/01/2019 21.00,0
01/01/2019 21.00,01/01/2019 22.00,0
01/01/2019 22.00,01/01/2019 23.00,0
01/01/2019 23.00,02/01/2019 00.00,0
02/01/2019 00.00,02/01/2019 01.00,0
02/01/2019 01.00,02/01/2019 02.00,0
02/01/2019 02.00,02/01/2019 03.00,0
02/01/2019 03.00,02/01/2019 04.00,0
02/01/2019 04.00,02/01/2019 05.00,0
02/01/2019 05.00,02/01/2019 06.00,0
02/01/2019 06.00,02/01/2019 07.00,0
02/01/2019 07.00,02/01/2019 08.00,0
02/01/2019 08.00,02/01/2019 09.00,1399.932
02/01/2019 09.00,02/01/2019 10.00,3174.179
02/01/2019 10.00,02/01/2019 11.00,4131.291
02/01/2019 11.00,02/01/2019 12.00,4203.045
02/01/2019 12.00,02/01/2019 13.00,3401.673
02/01/2019 13.00,02/01/2019 14.00,1845.974
02/01/2019 14.00,02/01/2019 15.00,176.285
02/01/2019 15.00,02/01/2019 16.00,0
02/01/2019 16.00,02/01/2019 17.00,0
02/01/2019 17.00,02/01/2019 18.00,0
02/01/2019 18.00,02/01/2019 19.00,0
02/01/2019 19.00,02/01/2019 20.00,0
02/01/2019 20.00,02/01/2019 21.00,0
02/01/2019 21.00,02/01/2019 22.00,0
02/01/2019 22.00,02/01/2019 23.00,0
02/01/2019 23.00,03/01/2019 00.00,0
03/01/2019 00.00,03/01/2019 01.00,0
03/01/2019 01.00,03/01/2019 02.00,0
03/01/2019 02.00,03/01/2019 03.00,0
03/01/2019 03.00,03/01/2019 04.00,0
03/01/2019 04.00,03/01/2019 05.00,0
03/01/2019 05.00,03/01/2019 06.00,0
03/01/2019 06.00,03/01/2019 07.00,0
03/01/2019 07.00,03/01/2019 08.00,0
03/01/2019 08.00,03/01/2019 09.00,925.128
03/01/2019 09.00,03/01/2019 10.00,1828.616
03/01/2019 10.00,03/01/2019 11.00,1976.401
03/01/2019 11.00,03/01/2019 12.00,1295.695
03/01/2019 12.00,03/01/2019 13.00,1045.054
03/01/2019 13.00,03/01/2019 14.00,530.06
03/01/2019 14.00,03/01/2019 15.00,27.344
03/01/2019 15.00,03/01/2019 16.00,0
03/01/2019 16.00,03/01/2019 17.00,0
03/01/2019 17.00,03/01/2019 18.00,0
03/01/2019 18.00,03/01/2019 19.00,0
03/01/2019 19.00,03/01/2019 20.00,0
03/01/2019 20.00,03/01/2019 21.00,0
03/01/2019 21.00,03/01/2019 22.00,0
03/01/2019 22.00,03/01/2019 23.00,0
03/01/2019 23.00,04/01/2019 00.00,0
04/01/2019 00.00,04/01/2019 01.00,0
04/01/2019 01.00,04/01/2019 02.00,0
04/01/2019 02.00,04/01/2019 03.00,0
04/01/2019 03.00,04/01/2019 04.00,0
04/01/2019 04.00,04/01/2019 05.00,0
04/01/2019 05.00,04/01/2019 06.00,0
04/01/2019 06.00,04/01/2019 07.00,0
04/01/2019 07.00,04/01/2019 08.00,0
04/01/2019 08.00,04/01/2019 09.00,196.256
04/01/2019 09.00,04/01/2019 10.00,1235.373
04/01/2019 10.00,04/01/2019 11.00,2072.579
04/01/2019 11.00,04/01/2019 12.00,3306.643
04/01/2019 12.00,04/01/2019 13.00,3000.745
04/01/2019 13.00,04/01/2019 14.00,1476.288
04/01/2019 14.00,04/01/2019 15.00,112.516
04/01/2019 15.00,04/01/2019 16.00,0
04/01/2019 16.00,04/01/2019 17.00,0
04/01/2019 17.00,04/01/2019 18.00,0
04/01/2019 18.00,04/01/2019 19.00,0
04/01/2019 19.00,04/01/2019 20.00,0
04/01/2019 20.00,04/01/2019 21.00,0
04/01/2019 21.00,04/01/2019 22.00,0
04/01/2019 22.00,04/01/2019 23.00,0
04/01/2019 23.00,05/01/2019 00.00,0
05/01/2019 00.00,05/01/2019 01.00,0
05/01/2019 01.00,05/01/2019 02.00,0
05/01/2019 02.00,05/01/2019 03.00,0
05/01/2019 03.00,05/01/2019 04.00,0
05/01/2019 04.00,05/01/2019 05.00,0
05/01/2019 05.00,05/01/2019 06.00,0
05/01/2019 06.00,05/01/2019 07.00,0
05/01/2019 07.00,05/01/2019 08.00,0
05/01/2019 08.00,05/01/2019 09.00,305.187
05/01/2019 09.00,05/01/2019 10.00,1808.206
05/01/2019 10.00,05/01/2019 11.00,3029.872
05/01/2019 11.00,05/01/2019 12.00,3626.27
05/01/2019 12.00,05/01/2019 13.00,3032.312
05/01/2019 13.00,05/01/2019 14.00,1695.508
05/01/2019 14.00,05/01/2019 15.00,210.618
05/01/2019 15.00,05/01/2019 16.00,0
05/01/2019 16.00,05/01/2019 17.00,0
05/01/2019 17.00,05/01/2019 18.00,0
05/01/2019 18.00,05/01/2019 19.00,0
05/01/2019 19.00,05/01/2019 20.00,0
05/01/2019 20.00,05/01/2019 21.00,0
05/01/2019 21.00,05/01/2019 22.00,0
05/01/2019 22.00,05/01/2019 23.00,0
05/01/2019 23.00,06/01/2019 00.00,0
06/01/2019 00.00,06/01/2019 01.00,0
06/01/2019 01.00,06/01/2019 02.00,0
06/01/2019 02.00,06/01/2019 03.00,0
06/01/2019 03.00,06/01/2019 04.00,0
06/01/2019 04.00,06/01/2019 05.00,0
06/01/2019 05.00,06/01/2019 06.00,0
06/01/2019 06.00,06/01/2019 07.00,0
06/01/2019 07.00,06/01/2019 08.00,0
06/01/2019 08.00,06/01/2019 09.00,285.757
06/01/2019 09.00,06/01/2019 10.00,748.695
06/01/2019 10.00,06/01/2019 11.00,1276.124
06/01/2019 11.00,06/01/2019 12.00,1457.38
06/01/2019 12.00,06/01/2019 13.00,1151.662
06/01/2019 13.00,06/01/2019 14.00,486.548
06/01/2019 14.00,06/01/2019 15.00,21.054
06/01/2019 15.00,06/01/2019 16.00,0
06/01/2019 16.00,06/01/2019 17.00,0
06/01/2019 17.00,06/01/2019 18.00,0
06/01/2019 18.00,06/01/2019 19.00,0
06/01/2019 19.00,06/01/2019 20.00,0
06/01/2019 20.00,06/01/2019 21.00,0
06/01/2019 21.00,06/01/2019 22.00,0
06/01/2019 22.00,06/01/2019 23.00,0
06/01/2019 23.00,07/01/2019 00.00,0
07/01/2019 00.00,07/01/2019 01.00,0
07/01/2019 01.00,07/01/2019 02.00,0
07/01/2019 02.00,07/01/2019 03.00,0
07/01/2019 03.00,07/01/2019 04.00,0
07/01/2019 04.00,07/01/2019 05.00,0
07/01/2019 05.00,07/01/2019 06.00,0
07/01/2019 06.00,07/01/2019 07.00,0
07/01/2019 07.00,07/01/2019 08.00,0
07/01/2019 08.00,07/01/2019 09.00,13.522
07/01/2019 09.00,07/01/2019 10.00,92.779
07/01/2019 10.00,07/01/2019 11.00,155.704
07/01/2019 11.00,07/01/2019 12.00,294.402
07/01/2019 12.00,07/01/2019 13.00,384.633
07/01/2019 13.00,07/01/2019 14.00,236.085
07/01/2019 14.00,07/01/2019 15.00,5.312
07/01/2019 15.00,07/01/2019 16.00,0
07/01/2019 16.00,07/01/2019 17.00,0
07/01/2019 17.00,07/01/2019 18.00,0
07/01/2019 18.00,07/01/2019 19.00,0
07/01/2019 19.00,07/01/2019 20.00,0
07/01/2019 20.00,07/01/2019 21.00,0
07/01/2019 21.00,07/01/2019 22.00,0
07/01/2019 22.00,07/01/2019 23.00,0
07/01/2019 23.00,08/01/2019 00.00,0
08/01/2019 00.00,08/01/2019 01.00,0
08/01/2019 01.00,08/01/2019 02.00,0
08/01/2019 02.00,08/01/2019 03.00,0
