time,local_time,electricity
01/01/2019 00.00,01/01/2019 01.00,9036.245
01/01/2019 01.00,01/01/2019 02.00,9231.939
01/01/2019 02.00,01/01/2019 03.00,9412.198
01/01/2019 03.00,01/01/2019 04.00,9569.018
01/01/2019 04.00,01/01/2019 05.00,9713.905
01/01/2019 05.00,01/01/2019 06.00,9788.11
01/01/2019 06.00,01/01/2019 07.00,9826.897
01/01/2019 07.00,01/01/2019 08.00,9871.8
01/01/2019 08.00,01/01/2019 09.00,9901.788
01/01/2019 09.00,01/01/2019 10.00,9913.405
01/01/2019 10.00,01/01/2019 11.00,9892.273
01/01/2019 11.00,01/01/2019 12.00,9867.459
01/01/2019 12.00,01/01/2019 13.00,9875.748
01/01/2019 13.00,01/01/2019 14.00,9904.853
01/01/2019 14.00,01/01/2019 15.00,9911.591
01/01/2019 15.00,01/01/2019 16.00,9876.472
01/01/2019 16.00,01/01/2019 17.00,9796.092
01/01/2019 17.00,01/01/2019 18.00,9692.985
01/01/2019 18.00,01/01/2019 19.00,9678.167
01/01/2019 19.00,01/01/2019 20.00,9781.416
01/01/2019 20.00,01/01/2019 21.00,9851.229
01/01/2019 21.00,01/01/2019 22.00,9872.974
01/01/2019 22.00,01/01/2019 23.00,9885.353
01/01/2019 23.00,02/01/2019 00.00,9895.919
02/01/2019 00.00,02/01/2019 01.00,9881.342
02/01/2019 01.00,02/01/2019 02.00,9833.145
02/01/2019 02.00,02/01/2019 03.00,9771.848
02/01/2019 03.00,02/01/2019 04.00,9749.5
02/01/2019 04.00,02/01/2019 05.00,9716.313
02/01/2019 05.00,02/01/2019 06.00,9652.971
02/01/2019 06.00,02/01/2019 07.00,9575.349
02/01/2019 07.00,02/01/2019 08.00,9476.655
02/01/2019 08.00,02/01/2019 09.00,9377.314
02/01/2019 09.00,02/01/2019 10.00,9328.231
02/01/2019 10.00,02/01/2019 11.00,9306.815
02/01/2019 11.00,02/01/2019 12.00,9185.431
02/01/2019 12.00,02/01/2019 13.00,9127.727
02/01/2019 13.00,02/01/2019 14.00,9047.326
02/01/2019 14.00,02/01/2019 15.00,8932.255
02/01/2019 15.00,02/01/2019 16.00,8677.76
02/01/2019 16.00,02/01/2019 17.00,8116.728
02/01/2019 17.00,02/01/2019 18.00,7498.663
02/01/2019 18.00,02/01/2019 19.00,6902.071
02/01/2019 19.00,02/01/2019 20.00,6361.758
02/01/2019 20.00,02/01/2019 21.00,6014.31
