,KG_Factor,KL_Factor,A_G,A_L,StrikePrice,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product,Gamma,Factor
0,-0.1,-0.1,0.1,0.1,45.47877483797756,30.0,85.76544661003234,-232.42803927425376,83.80661451119275,-234.3936924673098,3.8503845697446875,1.0,Price Bias
1,-0.1,-0.05,0.1,0.1,46.73942742060754,29.99999996085054,88.14282885068366,-242.74731879518998,83.80661451119275,-247.09863268809133,18.86822969802482,0.999999998695018,Price Bias
2,-0.1,-0.01,0.1,0.1,47.74794950886151,29.9999999641716,90.04473468548598,-251.00274245122282,83.80661451119275,-257.26258486471653,39.04964924751156,0.99999999880572,Price Bias
3,-0.1,0.0,0.1,0.1,48.000080336163045,29.99999996465586,90.5202117198256,-253.06659894287446,83.80661451119275,-259.8035740497056,45.22933727185061,0.999999998821862,Price Bias
4,-0.1,0.01,0.1,0.1,48.25221624981698,29.999999965065527,90.99569834618678,-255.13046505994956,83.80661451119275,-262.3445824799462,51.86289492784683,0.9999999988355176,Price Bias
5,-0.1,0.05,0.1,0.1,49.26080794605149,29.999999966221694,92.89773545019236,-263.3860204422974,83.80661451119275,-272.50879784570475,82.93627267394882,0.9999999988740564,Price Bias
6,-0.1,0.1,0.1,0.1,50.52168339174653,29.999999967061996,95.27553797445367,-273.70587121145314,83.80661451119275,-285.21420605080317,131.98821146208462,0.9999999989020665,Price Bias
7,-0.05,-0.1,0.1,0.1,,,,,,,,,Price Bias
8,-0.05,-0.05,0.1,0.1,48.001685610808956,30.0,90.52323900791498,-245.13601811989457,88.5674349959431,-247.09863268809133,3.8384894464336705,1.0,Price Bias
9,-0.05,-0.01,0.1,0.1,49.01020767235349,29.99999995932798,92.42514479172866,-253.391441728686,88.5674349959431,-257.26258486471653,14.933746796752963,0.999999998644266,Price Bias
10,-0.05,0.0,0.1,0.1,49.26233849278287,29.999999960852154,92.900621813077,-255.45529820730115,88.5674349959431,-259.8035740497056,18.841891557568786,0.9999999986950718,Price Bias
11,-0.05,0.01,0.1,0.1,49.51447439941955,29.99999996199427,93.37610842618254,-257.5191643110746,88.5674349959431,-262.3445824799462,23.203860138447673,0.9999999987331423,Price Bias
12,-0.05,0.05,0.1,0.1,50.52306603086847,29.999999964657427,95.27814540796747,-265.7747195707763,88.5674349959431,-272.50879784570475,45.19044919494936,0.9999999988219143,Price Bias
13,-0.05,0.1,0.1,0.1,51.78388228635692,29.99999996622488,97.65583630927321,-276.09437095708535,88.5674349959431,-285.21420605080317,82.88472124309911,0.9999999988741627,Price Bias
14,-0.01,-0.1,0.1,0.1,,,,,,,,,Price Bias
15,-0.01,-0.05,0.1,0.1,,,,,,,,,Price Bias
16,-0.01,-0.01,0.1,0.1,50.01980610478406,30.0,94.32908043823639,-255.30200734168238,92.37530640673177,-257.26258486471653,3.8305254512557707,1.0,Price Bias
17,-0.01,0.0,0.1,0.1,50.27193692457266,30.0,94.80455745889847,-257.36586381865465,92.37530640673177,-259.8035740497056,5.9218101436581145,1.0,Price Bias
18,-0.01,0.01,0.1,0.1,50.52407282100348,29.99999995397521,95.28004405175598,-259.4297299069848,92.37530640673177,-262.3445824799462,8.466881998376728,0.9999999984658403,Price Bias
19,-0.01,0.05,0.1,0.1,51.53266443078149,29.999999961991858,97.1820809925113,-267.6852851255139,92.37530640673177,-272.50879784570475,23.185538357597824,0.9999999987330619,Price Bias
20,-0.01,0.1,0.1,0.1,52.793480608835445,29.999999965068707,99.55977174774274,-278.0048916807344,92.37530640673177,-285.21420605080317,51.79506922421165,0.9999999988356235,Price Bias
21,0.0,-0.1,0.1,0.1,,,,,,,,,Price Bias
22,0.0,-0.05,0.1,0.1,,,,,,,,,Price Bias
23,0.0,-0.01,0.1,0.1,50.27217388028461,29.999999905537678,94.80500431956328,-255.77958851048095,93.32715418383083,-257.26258486471653,2.1916463633977865,0.999999996851256,Price Bias
24,0.0,0.0,0.1,0.1,50.52430469357419,30.0,95.2804813265819,-257.8434449708079,93.32715418383083,-259.8035740497056,3.8287733331065357,1.0,Price Bias
25,0.0,0.01,0.1,0.1,50.77644059667374,30.0,95.75596793352756,-259.9073110674456,93.32715418383083,-262.3445824799462,5.919678318424209,1.0,Price Bias
26,0.0,0.05,0.1,0.1,51.78503219723337,29.999999960847397,97.65800485589658,-268.16286627239884,93.32715418383083,-272.50879784570475,18.82158067500364,0.9999999986949132,Price Bias
27,0.0,0.1,0.1,0.1,53.04584831472562,29.999999964658638,100.03569549689648,-278.4824615432744,93.32715418383083,-285.21420605080317,45.160186137759666,0.9999999988219546,Price Bias
28,0.01,-0.1,0.1,0.1,,,,,,,,,Price Bias
29,0.01,-0.05,0.1,0.1,,,,,,,,,Price Bias
30,0.01,-0.01,0.1,0.1,50.52360674066816,29.94609750456692,95.28081383365111,-256.2570257446254,94.27898880925251,-257.26258486471653,1.0073942900195065,0.9982032501522308,Price Bias
31,0.01,0.0,0.1,0.1,50.776668982267445,29.999999905460992,95.75639863236736,-258.321019541167,94.27898880925251,-259.8035740497056,2.1903405942181613,0.9999999968486998,Price Bias
32,0.01,0.01,0.1,0.1,51.02880488037471,30.0,96.23188522851066,-260.38488562401074,94.27898880925251,-262.3445824799462,3.8270849727878518,1.0,Price Bias
33,0.01,0.05,0.1,0.1,52.03739647923764,29.999999959319442,98.13392214820155,-268.64044082532143,94.27898880925251,-272.50879784570475,14.912258444833203,0.9999999986439814,Price Bias
34,0.01,0.1,0.1,0.1,53.29817282239627,29.999999964170474,100.51153778135554,-278.9599545475602,94.27898880925251,-285.21420605080317,38.9799287778109,0.9999999988056825,Price Bias
35,0.05,-0.1,0.1,0.1,,,,,,,,,Price Bias
36,0.05,-0.05,0.1,0.1,,,,,,,,,Price Bias
37,0.05,-0.01,0.1,0.1,,,,,,,,,Price Bias
38,0.05,0.0,0.1,0.1,,,,,,,,,Price Bias
39,0.05,0.01,0.1,0.1,,,,,,,,,Price Bias
