,Price_Change,Avg_G_Price,StrikePrice,A_G,A_L,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product,Factor,Production_Change,Avg_Production,Load_Change,Avg_Load,CaptureRate_Change,Avg_G_Capture_Rate,Load_CaptureRate_Change,Avg_Load_Capture_Rate
0,0.6,0.05183688637263165,51.68581944289678,0.1,0.1,11.998785496285608,57.22850930859196,-156.1656158076725,55.23232938221876,-158.1641792775606,3.9894922801733927,Price Sensitivity (Expected),,,,,,,,
1,0.7,0.06029906054826937,60.15133530299143,0.1,0.1,12.05415006112844,66.75089149978655,-181.58246801303602,64.7593496535957,-183.57400954829689,3.9662383058991657,Price Sensitivity (Expected),,,,,,,,
2,0.8,0.06876123472390708,68.6307921566053,0.1,0.1,12.325360612728517,76.26917755773424,-206.99835212543505,74.28368986663465,-208.9838398190331,3.9421613764686674,Price Sensitivity (Expected),,,,,,,,
3,0.85,0.07299232181172596,72.84746389262138,0.1,0.1,12.138988140495103,81.02747099079227,-219.70658575797637,79.04530179234231,-221.68875495440122,3.9289947272696284,Price Sensitivity (Expected),,,,,,,,
4,0.9,0.07722340889954481,77.08642330823618,0.1,0.1,12.26823968253516,85.7854152757866,-232.41489174849204,83.80661451119275,-234.3936924673098,3.9156523753754393,Price Sensitivity (Expected),,,,,,,,
5,0.95,0.08145449598736366,81.30450619968245,0.1,0.1,12.102628834768604,90.5426855116902,-245.12338217059047,88.5674349959431,-247.09863268809133,3.9016146034232717,Price Sensitivity (Expected),,,,,,,,
6,1.0,0.08568558307518252,85.52103036125166,0.1,0.1,11.921044869120513,95.29883193292163,-257.8318962935799,93.32715418383083,-259.8035740497056,3.8875131601303234,Price Sensitivity (Expected),,,,,,,,
7,1.05,0.08991667016300138,89.75117757458754,0.1,0.1,11.932308516647891,100.05452942621761,-270.5405921957207,98.08632377820584,-272.50879784570475,3.87383347674728,Price Sensitivity (Expected),,,,,,,,
8,1.1,0.09414775725082024,93.99404719841576,0.1,0.1,12.12352878098469,104.810221050241,-283.2493438985168,102.8453588977809,-285.21420605080317,3.8606832778287297,Price Sensitivity (Expected),,,,,,,,
9,1.15,0.09837884433863911,98.23648098067088,0.1,0.1,12.31474474366433,109.5650331478368,-295.9586921901998,107.60389354553206,-297.91983173104586,3.8460684191988923,Price Sensitivity (Expected),,,,,,,,
