,CaptureRate_Change,Avg_G_Capture_Rate,A_G,A_L,StrikePrice,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product,Gamma
0,0.6,,0.5,0.5,,,,,,,,
1,0.7,,0.5,0.5,,,,,,,,
2,0.8,0.4773170088297192,0.5,0.5,40.60809861490805,30.0,75.46569136576161,-274.7798456776144,67.62242026508721,-282.76117290436883,62.59971318262889,1.0
3,0.85,0.5071062282019387,0.5,0.5,43.15923735381605,30.0,80.20670252531862,-274.30951756811146,71.90178051988525,-282.76117290436883,70.19033838442223,1.0
4,0.9,0.5368954475741582,0.5,0.5,45.71017634570338,30.0,84.94734247697549,-273.83900336268107,76.18007523900285,-282.76117290436883,78.22304471447656,1.0
5,0.95,0.5666846669463778,0.5,0.5,48.26075579201015,30.0,89.68731425265915,-273.3678091757027,80.45703352758994,-282.76117290436883,86.70338416827134,1.0
6,1.0,0.5964738863185973,0.5,0.5,50.81133405384369,30.0,94.42728382712934,-272.8966127486191,84.73398740026025,-282.76117290436883,95.62010571036438,1.0
7,1.05,0.6262631056908167,0.5,0.5,53.360947763258466,30.0,99.16546088686428,-272.42359213600184,89.00735621507641,-282.76117290436883,105.01022749813315,1.0
8,1.1,0.6560523250630362,0.5,0.5,55.909882445702856,30.0,103.90237604955095,-271.94928733068315,93.27820119705319,-282.76117290436883,114.86736282003477,1.0
9,1.15,0.6858415444352558,0.5,0.5,58.457760456569275,30.0,108.63732750416219,-271.4737513403931,97.54562684409414,-282.76117290436883,125.19670121161582,1.0
10,1.2,0.7156307638074754,0.5,0.5,61.00445367119873,30.0,113.37007714509096,-270.9965042605196,101.81153304232204,-282.76117290436883,135.982441374394,1.0
11,1.3,0.7752092025519144,0.5,0.5,66.09748075790311,30.0,122.83490862827679,-270.04691043324743,110.34325143486114,-282.76117290436883,158.82220825635827,1.0
12,1.4,0.8347876412963534,0.5,0.5,71.1889640898128,30.0,132.29687121272434,-269.10196812356,118.87496982740024,-282.76117290436883,183.33249956996337,1.0
