,Load_Change,Avg_Load,StrikePrice,A_G,A_L,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product,Gamma
0,0.6,86.56060929400454,50.67080312411219,0.5,0.5,29.99999991869847,94.16612252890155,-160.228639351077,84.73398740026025,-169.8317308590393,90.57765675580839,0.999999997289949
1,0.7,100.97740611971606,50.74006715139582,0.5,0.5,30.0,94.294842116038,-188.3285283152726,84.73398740026025,-198.06011991431865,93.04233343176261,1.0
2,0.8,115.3942029454276,50.77259178613191,0.5,0.5,30.0,94.35528557757641,-216.49773564690466,84.73398740026025,-226.28997926695467,94.21409569342305,1.0
3,0.85,122.60260135828335,50.78422746002555,0.5,0.5,30.0,94.37690919958388,-230.59208041856965,84.73398740026025,-240.40693526480638,94.64387775397331,1.0
4,0.9,129.8109997711391,50.795514779839486,0.5,0.5,29.99999993531042,94.3978854436389,-244.68741295959987,84.73398740026025,-254.52393319278912,95.05912863517209,0.9999999978436807
5,0.95,137.01939818399487,50.803908404733555,0.5,0.5,30.0,94.41348407380306,-258.78819177957894,84.73398740026025,-268.6414433729377,95.37451602149673,1.0
6,1.0,144.22779659685062,50.81133405384369,0.5,0.5,30.0,94.42728382712934,-272.8966127486191,84.73398740026025,-282.76117290436883,95.62010571036438,1.0
7,1.05,151.43619500970638,50.81750371020429,0.5,0.5,30.0,94.43874945587395,-287.0053781573778,84.73398740026025,-296.88096212466496,95.84019256275566,1.0
8,1.1,158.64459342256214,50.82327677295875,0.5,0.5,30.0,94.44947805895862,-301.11425566105993,84.73398740026025,-311.0007570491247,96.0522118829515,1.0
9,1.15,165.8529918354179,50.82854974504888,0.5,0.5,30.0,94.45927729846768,-315.223860697591,84.73398740026025,-325.12061978533,96.2488511809806,1.0
10,1.2,173.06139024827368,50.83378511305946,0.5,0.5,30.0,94.46900665492484,-329.33398111340136,84.73398740026025,-339.2406410904189,96.44152562568057,1.0
11,1.3,187.47818707398517,50.84271241785138,0.5,0.5,30.0,94.48559707041177,-357.5560072108384,84.73398740026025,-367.4806837005966,96.78157123065166,1.0
12,1.4,201.89498389969674,50.84792737243195,0.5,0.5,30.0,94.49528849075122,-385.7854824524595,84.73398740026025,-395.72116247616884,96.98516425020321,1.0
