,Load_Change,Avg_Load,StrikePrice,A_G,A_L,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product
0,0.6,144.23202993027726,88.6918786516869,0.5,0.5,12.963119014540235,94.67705081791502,-269.74807137435243,86.99401795545754,-277.4311042538634,59.02899409662403
1,0.7,144.23380564765154,88.64201193668325,0.5,0.5,12.801819460328383,94.64267555216733,-269.7879815721071,86.99401795545754,-277.436639093022,58.501962451977015
2,0.8,144.23558136502584,88.60164119977266,0.5,0.5,12.68976660050035,94.6065890885992,-269.83241568367646,86.99401795545754,-277.4449868178529,57.951239265019076
3,0.85,144.236469223713,88.55836864580657,0.5,0.5,12.532143622841602,94.58754390867507,-269.8564538661887,86.99401795545754,-277.44997981948814,57.66163640281019
4,0.9,144.23735708240008,88.50438450110363,0.5,0.5,12.332703464036129,94.56815540766746,-269.8820642435384,86.99401795545754,-277.45620168269045,57.367558046066726
5,0.95,144.2382449410872,88.45056432015885,0.5,0.5,12.14073088663807,94.54842104894982,-269.90986416990745,86.99401795545754,-277.4642672661119,57.0690061194546
6,1.0,144.23913279977435,88.42550268826973,0.5,0.5,12.074885226463548,94.52834699024703,-269.9383204683487,86.99401795545754,-277.47264949610815,56.76611395150525
7,1.05,144.2400206584615,88.36502456533512,0.5,0.5,11.865478495595177,94.50807907001183,-269.96788917986396,86.99401795545754,-277.48195029043757,56.4611144033458
8,1.1,144.24090851714863,88.34244620555987,0.5,0.5,11.811574185180513,94.48872033980106,-270.00011524345126,86.99401795545754,-277.4948175362882,56.17056314407007
9,1.15,144.24179637583578,88.30846093830458,0.5,0.5,11.7135376394959,94.46885709544691,-270.0340122256562,86.99401795545754,-277.5088513777539,55.873220259224645
10,1.2,144.24268423452293,88.27577561556517,0.5,0.5,11.621897953850095,94.44884108550303,-270.06943519921015,86.99401795545754,-277.52425832921864,55.57438789998548
11,1.3,144.24445995189717,88.23261341421008,0.5,0.5,11.530303518423626,94.40856078306231,-270.14190853738035,86.99401795545754,-277.55645135826194,54.9754452925361
12,1.4,144.24623566927144,88.18490419633302,0.5,0.5,11.4250798873351,94.36758765400755,-270.21720529854724,86.99401795545754,-277.5907749976718,54.369530103611496
