,Load_Change,Avg_Load,StrikePrice,A_G,A_L,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product,Gamma
0,0.6,144.20386526095646,50.796141973770006,0.5,0.5,29.999999936197753,94.39905101467491,-272.7785868135194,84.73398740026025,-282.61941914271114,95.11227048042673,0.9999999978732584
1,0.7,144.20984809493,50.79994097295446,0.5,0.5,30.0,94.40611103757709,-272.8048441317177,84.73398740026025,-282.6529590926986,95.25218549711722,1.0
2,0.8,144.21583092890353,50.804294234857856,0.5,0.5,30.0,94.4142010967141,-272.8321776799472,84.73398740026025,-282.6885299164062,95.41159591644367,1.0
3,0.85,144.21882234589032,50.80652929535979,0.5,0.5,30.0,94.41835471118449,-272.8459550147562,84.73398740026025,-282.70653640482055,95.49349208064704,1.0
4,0.9,144.22181376287708,50.8099568402776,0.5,0.5,30.0,94.42472442697353,-272.8626847488536,84.73398740026025,-282.72464032910415,95.56961809733552,1.0
5,0.95,144.22480517986384,50.81064469385492,0.5,0.5,30.0,94.42600272730132,-272.87964732425496,84.73398740026025,-282.7429037646547,95.59483259489114,1.0
6,1.0,144.22779659685062,50.81133405384369,0.5,0.5,30.0,94.42728382712934,-272.8966127486191,84.73398740026025,-282.76117290436883,95.62010571036438,1.0
7,1.05,144.23078801383738,50.812039271150184,0.5,0.5,30.0,94.42859439604081,-272.9136081627371,84.73398740026025,-282.77950201815617,95.6459635903742,1.0
8,1.1,144.23377943082417,50.8133996159761,0.5,0.5,30.0,94.43112244749571,-272.9319031633821,84.73398740026025,-282.7997260976646,95.6896116159443,1.0
9,1.15,144.23677084781093,50.81410668872659,0.5,0.5,29.99999993822828,94.4324364643275,-272.9509978854014,84.73398740026025,-282.82062462211957,95.72007218741719,0.9999999979409427
10,1.2,144.2397622647977,50.81379610937798,0.5,0.5,30.0,94.43185928693697,-272.9712967492901,84.73398740026025,-282.8415231465745,95.72019109335884,1.0
11,1.3,144.24574509877124,50.813095733096105,0.5,0.5,30.0,94.43055771453811,-273.0163913778241,84.73398740026025,-282.8840039565292,95.68199920346692,1.0
12,1.4,144.2517279327448,50.81082361689141,0.5,0.5,30.0,94.42633523611387,-273.0672269228596,84.73398740026025,-282.9298595434042,95.59206593555442,1.0
