,Load_Change,Avg_Load,StrikePrice,A_G,A_L,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product
0,0.6,144.23913279977435,89.6011705014011,0.5,0.5,13.87944212205873,96.8130331483354,-271.56250605884475,92.86215913323164,-275.5133801137764,15.609405640577137
1,0.7,144.23913279977435,89.5744946665874,0.5,0.5,13.636707912833549,96.77998000595807,-271.6306218980818,92.86215913323164,-275.54844277495425,15.349320407014186
2,0.8,144.23913279977435,89.5478579163381,0.5,0.5,13.436592705047754,96.74227121414384,-271.70896553555343,92.86215913323164,-275.58907761394164,15.055269750647426
3,0.85,144.23913279977435,89.5449374053961,0.5,0.5,13.524614836814342,96.72411729205277,-271.7507300314538,92.86215913323164,-275.61268819569636,14.914720841422321
4,0.9,144.23913279977435,89.53806381084003,0.5,0.5,13.539382120224056,96.7059160070092,-271.7941563229559,92.86215913323164,-275.6379131986828,14.774466912204817
5,0.95,144.23913279977435,89.52354653221764,0.5,0.5,13.413682148771658,96.68803074949125,-271.83916818600403,92.86215913323164,-275.6650398169603,14.637293680328439
6,1.0,144.23913279977435,89.51322886292229,0.5,0.5,13.373835963087979,96.66905698534245,-271.8857614993749,92.86215913323164,-275.6926593474486,14.492471241037144
7,1.05,144.23913279977435,89.50445533183863,0.5,0.5,13.367376409666333,96.64936459591871,-271.9336658531504,92.86215913323164,-275.7208713273782,14.342925260313857
8,1.1,144.23913279977438,89.49509527602974,0.5,0.5,13.349766612032317,96.62979650756247,-271.9828713839215,92.86215913323164,-275.7505087786518,14.195091461312272
9,1.15,144.23913279977435,89.48499743901684,0.5,0.5,13.31972591667601,96.61023628981488,-272.03392413604547,92.86215913323164,-275.7820012836967,14.04808233822312
10,1.2,144.23913279977435,89.47676925688671,0.5,0.5,13.319746558203265,96.59103218826819,-272.0860396418778,92.86215913323164,-275.81491267968835,13.904494196344057
11,1.3,144.23913279977438,89.45844688871806,0.5,0.5,13.292598068166718,96.55189074651761,-272.19327171483485,92.86215913323164,-275.8830033228427,13.614119358606981
12,1.4,144.2391327997744,89.4267473651787,0.5,0.5,13.032121923759885,96.51268146147353,-272.3051997220209,92.86215913323164,-275.95572204790597,13.326313260388893
