,A_G,A_L,tau_G,tau_L,Revenue_G,Revenue_L,CR_L_Revenue,CR_G_Revenue
0,0.5,0.5,1.0,0.0,108.06780786957898,-269.3015592076381,-178.4304044278061,17.196653089746988
1,0.5,0.5,1.0,0.0,106.76188589148727,-279.0313951506523,-188.1602403708203,15.890731111655242
2,0.5,0.5,1.0,0.0,115.69929645059321,-274.74106149564767,-183.86990671581566,24.828141670761198
3,0.5,0.5,1.0,0.0,111.222968145756,-270.5460479573802,-179.6748931775482,20.351813365923988
4,0.5,0.5,1.0,0.0,108.50447307911102,-270.7779554939475,-179.9068007141155,17.63331829927901
5,0.5,0.5,1.0,0.0,112.79945523727238,-269.04897513626,-178.17782035642796,21.928300457440358
6,0.5,0.5,1.0,0.0,105.89651732783203,-271.3848317604956,-180.5136769806636,15.025362548000018
7,0.5,0.5,1.0,0.0,113.54915087422671,-274.7064976939754,-183.83534291414338,22.6779960943947
8,0.5,0.5,1.0,0.0,118.08699304688949,-274.5292867905557,-183.6581320107237,27.215838267057478
9,0.5,0.5,1.0,0.0,108.83399266547937,-270.29285881863404,-179.42170403880203,17.96283788564736
10,0.5,0.5,1.0,0.0,110.96086063652051,-272.7832504011572,-181.9120956213252,20.089705856688497
11,0.5,0.5,1.0,0.0,108.47281946285993,-273.33488005728117,-182.46372527744916,17.60166468302792
12,0.5,0.5,1.0,0.0,111.70165124195277,-271.81562301139314,-180.9444682315611,20.83049646212075
13,0.5,0.5,1.0,0.0,106.2995315791566,-273.60622982751715,-182.73507504768514,15.428376799324596
14,0.5,0.5,1.0,0.0,101.05143865642785,-276.60216386630253,-185.73100908647055,10.180283876595851
15,0.5,0.5,1.0,0.0,104.70155947004035,-272.09821201535436,-181.22705723552232,13.83040469020834
16,0.5,0.5,1.0,0.0,91.78326665598256,-271.37211403994485,-180.50095926011284,0.9121118761505471
17,0.5,0.5,1.0,0.0,101.96666147323569,-267.3776790181094,-176.50652423827736,11.095506693403678
18,0.5,0.5,1.0,0.0,103.49567797663303,-272.7435822850435,-181.87242750521145,12.624523196801022
19,0.5,0.5,1.0,0.0,115.57250336728987,-264.22836586778845,-173.35721108795644,24.701348587457844
20,0.5,0.5,1.0,0.0,109.28208045245951,-276.3248086439205,-185.4536538640885,18.4109256726275
21,0.5,0.5,1.0,0.0,101.67010552891006,-275.7406513320562,-184.86949655222418,10.798950749078045
22,0.5,0.5,1.0,0.0,101.90101192906965,-279.0590177565218,-188.1878629766898,11.029857149237642
23,0.5,0.5,1.0,0.0,109.47791496846554,-267.7969734162166,-176.92581863638458,18.606760188633515
24,0.5,0.5,1.0,0.0,99.60031418065755,-273.1837562890885,-182.31260150925647,8.729159400825537
25,0.5,0.5,1.0,0.0,103.90349370446499,-279.6032074480093,-188.7320526681773,13.032338924632981
26,0.5,0.5,1.0,0.0,102.00674175758563,-269.0442916886935,-178.17313690886147,11.135586977753618
27,0.5,0.5,1.0,0.0,98.86310692035026,-272.5769008446576,-181.70574606482558,7.9919521405182365
28,0.5,0.5,1.0,0.0,113.41243747320195,-272.1973713824729,-181.32621660264087,22.541282693369922
29,0.5,0.5,1.0,0.0,111.05785374896973,-270.29357656184453,-179.42242178201252,20.186698969137723
30,0.5,0.5,1.0,0.0,112.00013379394214,-274.9709484207972,-184.09979364096515,21.12897901411013
31,0.5,0.5,1.0,0.0,102.73508257253984,-274.2285320326624,-183.35737725283036,11.863927792707813
32,0.5,0.5,1.0,0.0,113.31288430213318,-268.5448658992105,-177.67371111937848,22.441729522301173
33,0.5,0.5,1.0,0.0,102.58339290372466,-271.92229576098566,-181.05114098115365,11.712238123892618
34,0.5,0.5,1.0,0.0,108.92599517701842,-264.9901991420099,-174.11904436217787,18.05484039718641
35,0.5,0.5,1.0,0.0,106.84918514530618,-275.21877901208103,-184.34762423224905,15.978030365474169
36,0.5,0.5,1.0,0.0,119.04008378701234,-265.1958944170211,-174.32473963718914,28.168929007180324
37,0.5,0.5,1.0,0.0,109.35196305479924,-273.7731349285847,-182.9019801487527,18.48080827496723
38,0.5,0.5,1.0,0.0,105.01415143806828,-268.55453543058036,-177.68338065074832,14.142996658236257
39,0.5,0.5,1.0,0.0,111.33345235063493,-271.7549489731561,-180.88379419332406,20.462297570802917
40,0.5,0.5,1.0,0.0,112.04152351227192,-266.14848245150574,-175.27732767167376,21.170368732439925
41,0.5,0.5,1.0,0.0,104.21987953920734,-269.90787259956505,-179.03671781973304,13.348724759375344
42,0.5,0.5,1.0,0.0,119.32906392135256,-267.7599845895309,-176.8888298096989,28.457909141520545
43,0.5,0.5,1.0,0.0,109.13416825163984,-260.5103232073767,-169.6391684275447,18.26301347180781
44,0.5,0.5,1.0,0.0,107.18327190453799,-274.5724998190985,-183.70134503926647,16.312117124705964
45,0.5,0.5,1.0,0.0,102.58981710735979,-267.4423222092478,-176.5711674294158,11.718662327527795
46,0.5,0.5,1.0,0.0,106.9011256660905,-266.06874574137953,-175.1975909615475,16.029970886258482
47,0.5,0.5,1.0,0.0,100.51352853894326,-276.42544351439085,-185.55428873455884,9.642373759111251
48,0.5,0.5,1.0,0.0,108.08807585915847,-276.5135343863799,-185.64237960654785,17.21692107932644
49,0.5,0.5,1.0,0.0,119.10541483873487,-270.969077120195,-180.09792234036297,28.234260058902848
50,0.5,0.5,1.0,0.0,108.00410271239762,-268.83652913840825,-177.96537435857624,17.132947932565614
51,0.5,0.5,1.0,0.0,110.2808705153693,-274.1243437875262,-183.25318900769417,19.409715735537304
52,0.5,0.5,1.0,0.0,114.34435245625913,-270.3907815838629,-179.51962680403088,23.47319767642712
53,0.5,0.5,1.0,0.0,110.32509565315779,-272.81822733199147,-181.94707255215945,19.453940873325777
54,0.5,0.5,1.0,0.0,104.89569873867914,-281.09071916268726,-190.21956438285525,14.024543958847119
55,0.5,0.5,1.0,0.0,114.266903587574,-265.2519491034136,-174.3807943235816,23.39574880774198
56,0.5,0.5,1.0,0.0,112.20273792970659,-279.5055798902637,-188.63442511043166,21.33158314987456
57,0.5,0.5,1.0,0.0,112.08075110228924,-269.0820329545505,-178.21087817471852,21.20959632245723
58,0.5,0.5,1.0,0.0,106.76002111185804,-270.6761989547858,-179.80504417495376,15.888866332026026
59,0.5,0.5,1.0,0.0,99.64894936307613,-268.9326389123893,-178.06148413255727,8.777794583244116
60,0.5,0.5,1.0,0.0,112.70407345537221,-267.88370811824143,-177.01255333840942,21.8329186755402
61,0.5,0.5,1.0,0.0,108.63726835177144,-268.00267972858114,-177.13152494874916,17.766113571939428
62,0.5,0.5,1.0,0.0,100.3513669738951,-269.5397913570928,-178.66863657726077,9.480212194063071
63,0.5,0.5,1.0,0.0,110.01496174941848,-278.3582342754411,-187.48707949560907,19.143806969586464
64,0.5,0.5,1.0,0.0,117.06752143973834,-272.6080741669337,-181.7369193871017,26.196366659906317
65,0.5,0.5,1.0,0.0,96.94928005558465,-271.25046171110864,-180.3793069312766,6.07812527575264
66,0.5,0.5,1.0,0.0,112.7268679907935,-274.47006255822765,-183.59890777839564,21.855713210961483
67,0.5,0.5,1.0,0.0,109.29182447011941,-272.0403401844123,-181.16918540458028,18.420669690287397
68,0.5,0.5,1.0,0.0,120.57946844435408,-273.8026500167913,-182.93149523695925,29.708313664522052
69,0.5,0.5,1.0,0.0,105.2052808773033,-272.56409831585233,-181.69294353602032,14.334126097471298
70,0.5,0.5,1.0,0.0,110.73859321496023,-265.71279899130036,-174.84164421146832,19.86743843512822
71,0.5,0.5,1.0,0.0,109.94759627088843,-265.8613057499114,-174.9901509700794,19.076441491056414
72,0.5,0.5,1.0,0.0,108.8135949914265,-269.81759211535143,-178.94643733551942,17.9424402115945
73,0.5,0.5,1.0,0.0,114.66384250198934,-270.9979061704676,-180.12675139063558,23.792687722157297
74,0.5,0.5,1.0,0.0,106.96570673799901,-271.0180399155357,-180.1468851357037,16.094551958167003
75,0.5,0.5,1.0,0.0,107.82965600660518,-265.21810972864745,-174.34695494881544,16.958501226773166
76,0.5,0.5,1.0,0.0,112.20221096951859,-267.49856904204574,-176.62741426221373,21.331056189686578
77,0.5,0.5,1.0,0.0,113.90903857545443,-270.06461041795274,-179.19345563812072,23.037883795622406
78,0.5,0.5,1.0,0.0,114.99704893605845,-277.4225476457443,-186.55139286591228,24.125894156226437
79,0.5,0.5,1.0,0.0,105.5589998583756,-266.6735671486346,-175.80241236880264,14.687845078543589
80,0.5,0.5,1.0,0.0,115.02745109706765,-268.12253968355486,-177.25138490372282,24.15629631723563
81,0.5,0.5,1.0,0.0,107.28688608052019,-273.185664461624,-182.31450968179203,16.415731300688194
82,0.5,0.5,1.0,0.0,105.5661780951669,-272.3234013485149,-181.45224656868285,14.695023315334879
83,0.5,0.5,1.0,0.0,114.54385576351731,-271.7814825906894,-180.91032781085738,23.67270098368529
84,0.5,0.5,1.0,0.0,108.88802648887136,-267.3659226208316,-176.4947678409996,18.01687170903935
85,0.5,0.5,1.0,0.0,121.78898360540168,-273.3463668037097,-182.4752120238777,30.91782882556967
86,0.5,0.5,1.0,0.0,111.85613350760491,-271.0309711858162,-180.15981640598417,20.984978727772884
87,0.5,0.5,1.0,0.0,99.50719979272067,-273.305306929531,-182.434152149699,8.636045012888644
88,0.5,0.5,1.0,0.0,103.69156588028511,-272.8575154020086,-181.98636062217656,12.820411100453086
89,0.5,0.5,1.0,0.0,104.22410343776329,-273.99681961310455,-183.12566483327257,13.352948657931279
90,0.5,0.5,1.0,0.0,115.6243402095498,-270.43391905112526,-179.56276427129325,24.753185429717774
91,0.5,0.5,1.0,0.0,106.8760244399895,-273.47697066849406,-182.60581588866205,16.004869660157468
92,0.5,0.5,1.0,0.0,109.18894120103876,-263.23297866405983,-172.36182388422785,18.317786421206762
93,0.5,0.5,1.0,0.0,105.4640408147163,-272.3073478837784,-181.43619310394635,14.592886034884273
