,Price_Change,Avg_G_Price,StrikePrice,A_G,A_L,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product
0,0.6,0.05254931877173009,54.5845672946986,0.5,0.5,13.031122091466798,58.54934211071331,-166.11244451251576,54.5376030512726,-170.12418356804403,16.09405026534655
1,0.7,0.06130753856701842,63.32716309343636,0.5,0.5,13.187940518101618,68.11959489633549,-192.54429599537372,64.15692975437895,-196.50696114508594,15.702715058010597
2,0.8,0.07006575836230675,72.0577939163164,0.5,0.5,13.256941436036206,77.66262828926898,-218.98238416276953,73.7502151988839,-222.89479725463826,15.306976195621205
3,0.85,0.07444486825995093,76.4281206470287,0.5,0.5,13.386303027781148,82.42214572875108,-232.20375590780833,78.53503690087706,-236.090864727777,15.109615009007126
4,0.9,0.0788239781575951,80.79677915762896,0.5,0.5,13.489340604544285,87.17643417605558,-245.42830335330734,83.31444841443789,-249.29028912556262,14.914934064019988
5,0.95,0.08320308805523927,85.1519110226141,0.5,0.5,13.382521467098268,91.92476800274241,-258.65555169040147,88.0896028629945,-262.4907168370141,14.708491675464881
6,1.0,0.08758219795288344,89.51322886292229,0.5,0.5,13.373835963087979,96.66905698534245,-271.8857614993749,92.86215913323164,-275.6926593474486,14.492471241037144
7,1.05,0.09196130785052761,93.8858658766888,0.5,0.5,13.580260235200436,101.40812353212752,-285.1176663542625,97.6311056110265,-288.89468426983854,14.265864355450319
8,1.1,0.09634041774817177,98.24151472610063,0.5,0.5,13.464503995324648,106.14340889235943,-298.3505830319116,102.39728273286008,-302.09670919222856,14.033461205948296
9,1.15,0.10071952764581595,102.60077874521694,0.5,0.5,13.420990096323186,110.87501016227512,-311.58469395473753,107.16009108906162,-315.29961303549345,13.800623748544906
10,1.2,0.10509863754346012,106.96301703777992,0.5,0.5,13.449516594866589,115.602455589568,-324.8200144602707,111.91719537417185,-328.50527468231564,13.581142879684084
11,0.3,,,0.5,0.5,,,,,,
12,0.4,,,0.5,0.5,,,,,,
