,Price_Change,Avg_G_Price,StrikePrice,A_G,A_L,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product
0,0.6,0.08758219795288344,88.59560985839623,0.5,0.5,13.263878564357224,95.77046275411755,-269.04507095875056,93.72406836667693,-271.0931401697089,4.191157338395028
1,0.7,0.08758219795288344,88.83129632136605,0.5,0.5,13.53546842705432,96.02283699611937,-269.7394214044948,93.53865617709148,-272.2236022279887,6.171154352720407
2,0.8,0.08758219795288344,89.05911988277931,0.5,0.5,13.433209650653966,96.26092040853149,-270.4468833506862,93.33744339297542,-273.37036037480925,8.54671788552995
3,0.85,0.08758219795288344,89.17516469612761,0.5,0.5,13.47793086445695,96.37153665631605,-270.8024648827501,93.22706928237635,-273.9469322516371,9.887675049883308
4,0.9,0.08758219795288344,89.28978291079612,0.5,0.5,13.469470792234658,96.47578989242672,-271.1620378313162,93.11038445834019,-274.52744325748364,11.325953709128237
5,0.95,0.08758219795288344,89.40917928537708,0.5,0.5,13.570137810286846,96.57454747288882,-271.52343441340463,92.98793058619255,-275.1100513024661,12.86382070041795
6,1.0,0.08758219795288344,89.51322886292229,0.5,0.5,13.373835963087979,96.66905698534245,-271.8857614993749,92.86215913323164,-275.6926593474486,14.492471241037144
7,1.05,0.08758219795288345,89.62694840969617,0.5,0.5,13.372501871666694,96.7583332246819,-272.24973370952137,92.7327881268167,-276.2752788122257,16.205013354426633
8,1.1,0.08758219795288344,89.74786931914129,0.5,0.5,13.477095587830993,96.84424849944318,-272.61612947551714,92.60101412417944,-276.8593638531745,18.005037973576545
9,1.15,0.08758219795288345,89.86545340087416,0.5,0.5,13.46779546670916,96.93510253240576,-272.9947665824481,92.46641768816096,-277.44388891355055,19.88172553118861
10,1.2,0.08758219795288344,89.95832065052619,0.5,0.5,13.255724977503144,97.00384824555607,-273.35576825717663,92.3296434519411,-278.0299730337715,21.84819037309779
11,1.3,0.08758219795288345,90.17370163132541,0.5,0.5,13.18052976380961,97.13878629052746,-274.0915289921045,92.04241907060737,-279.2081019872088,26.07593489057805
12,1.4,0.08758219795288347,90.41214817021401,0.5,0.5,13.264197346376159,97.27857667734986,-274.8496772284518,91.74094106023102,-280.3873128250308,30.665408114240883
