,Production_Change,Avg_Production,A_G,A_L,StrikePrice,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product
0,0.6,56.71194973062211,0.5,0.5,89.94241910445062,11.292639081429066,57.93879267596708,-273.10792163299584,55.35405497690266,-275.6926593474486,6.680869012739719
1,0.7,66.16394135239246,0.5,0.5,89.81096722369774,11.668951010459859,67.65356321187028,-272.7911482978981,64.75205217442056,-275.6926593474486,8.418766335553249
2,0.8,75.6159329741628,0.5,0.5,89.713905451594,12.407360327763751,77.34863929408462,-272.47713244765384,74.13311239922086,-275.6926593474486,10.339613227447996
3,0.85,80.34192878504797,0.5,0.5,89.67062578040192,12.816769714091839,82.1857577075271,-272.32426401991154,78.81736236787472,-275.6926593474486,11.346087123382777
4,0.9,85.06792459593315,0.5,0.5,89.62090338368493,13.080025729434844,87.01886611955368,-272.1744627880586,83.5006695685897,-275.6926593474486,12.377707000859404
5,0.95,89.79392040681832,0.5,0.5,89.56289821917949,13.175002973646011,91.84688347064747,-272.0277528121327,88.18197694868584,-275.6926593474486,13.43153986365916
6,1.0,94.5199162177035,0.5,0.5,89.51322886292229,13.373835963087979,96.66905698534245,-271.8857614993749,92.86215913323164,-275.6926593474486,14.492471241037144
7,1.05,99.24591202858866,0.5,0.5,89.47541489957761,13.744020424262725,101.48573370925456,-271.74849857780885,97.54157294352812,-275.6926593474486,15.556404161330606
8,1.1,103.97190783947384,0.5,0.5,89.42328230816109,13.85958173859558,106.29292536073586,-271.6080913302002,102.21958735400455,-275.6926593474486,16.63782614573727
9,1.15,108.69790365035902,0.5,0.5,89.37920981007606,14.002379531034089,111.10749577024748,-271.48249462106503,106.89733105142054,-275.6926593474486,17.725486991469914
10,1.2,113.42389946124419,0.5,0.5,89.33456062119927,14.146404671237494,115.91155269943012,-271.35573859938205,111.57463196394627,-275.6926593474486,18.808881520440032
11,1.3,122.87589108301455,0.5,0.5,89.2511835095814,14.484294360898105,125.511337626049,-271.1084733089073,120.92715158408413,-275.6926593474486,21.014761651651277
12,1.4,132.32788270478486,0.5,0.5,89.17679108473591,14.906085968123346,135.0975806625979,-270.87351272565155,130.27843404758354,-275.6926593474486,23.224174129691196
