,A_G,A_L,tau_G,tau_L,Revenue_G,Revenue_L,CR_L_Revenue,CR_G_Revenue
0,0.5,0.5,1.0,0.0,102.17644813197775,-273.76873998497473,-263.5859792934997,91.99368744050274
1,0.5,0.5,1.0,0.0,108.61460317211352,-240.37420389320596,-229.54982575204585,97.79022503095344
2,0.5,0.5,1.0,0.0,105.53152873460407,-295.8996670529121,-285.3825437612317,95.0144054429237
3,0.5,0.5,1.0,0.0,108.15582963735712,-256.23696919755486,-245.458311779726,97.37717221952823
4,0.5,0.5,1.0,0.0,106.80068192820548,-266.9324247578149,-256.2888194491185,96.1570766195091
5,0.5,0.5,1.0,0.0,106.62769384368595,-227.82202585548114,-217.19566029527223,96.00132828347704
6,0.5,0.5,1.0,0.0,107.89071603922699,-281.43233139998824,-270.6800948293817,97.13847946862042
7,0.5,0.5,1.0,0.0,104.61429739655229,-305.23182497173536,-294.8061116613654,94.18858408618229
8,0.5,0.5,1.0,0.0,108.33682371832614,-242.51320539087723,-231.71651035824792,97.54012868569681
9,0.5,0.5,1.0,0.0,104.9432415012641,-248.5310813870568,-238.07258597121736,94.48474608542469
10,0.5,0.5,1.0,0.0,105.58371926895788,-283.49302298718544,-272.97069846047094,95.06139474224337
11,0.5,0.5,1.0,0.0,107.08390632760683,-261.6031440300426,-250.93131297721618,96.41207527478038
12,0.5,0.5,1.0,0.0,104.45884027583615,-286.19319516020437,-275.78297448719826,94.04861960283002
13,0.5,0.5,1.0,0.0,106.37883658594606,-267.69853941536235,-257.09697461842353,95.77727178900729
14,0.5,0.5,1.0,0.0,108.46391544384768,-263.33078849753525,-252.5214276828151,97.65455462912753
15,0.5,0.5,1.0,0.0,108.15742313729626,-312.91119579225324,-302.1323795684682,97.37860691351123
16,0.5,0.5,1.0,0.0,103.32788233243913,-259.55336002876487,-249.25584902907661,93.03037133275085
17,0.5,0.5,1.0,0.0,106.12490348166227,-277.9601349046516,-267.3838767226896,95.54864529970021
18,0.5,0.5,1.0,0.0,103.31447236766233,-248.06437224067648,-237.76819765916187,93.01829778614773
19,0.5,0.5,1.0,0.0,108.14335551238615,-270.87426537867333,-260.09685111454314,97.36594124825595
20,0.5,0.5,1.0,0.0,106.9033501308969,-235.51670298175014,-224.86286590479656,96.2495130539433
21,0.5,0.5,1.0,0.0,105.26307459470209,-247.51922303976892,-237.02885350899172,94.7727050639249
22,0.5,0.5,1.0,0.0,104.72432018050239,-270.34409156342,-259.90741353759887,94.28764215468127
23,0.5,0.5,1.0,0.0,101.23067929320797,-283.34498559126797,-273.2564788881701,91.14217259011006
24,0.5,0.5,1.0,0.0,103.38787876581686,-219.35929787862813,-209.05580771901998,93.08438860620868
25,0.5,0.5,1.0,0.0,108.7170603456263,-277.6505588621045,-266.8159699835575,97.88247146707927
26,0.5,0.5,1.0,0.0,107.74203713150467,-296.4952007388345,-285.75778129844616,97.00461769111635
27,0.5,0.5,1.0,0.0,107.96607378981942,-251.88506797082636,-241.12532135309485,97.20632717208791
28,0.5,0.5,1.0,0.0,107.13610252309276,-271.0394963447763,-260.3624634927353,96.45906967105176
29,0.5,0.5,1.0,0.0,105.4486450911383,-278.9045434191835,-268.3956801944958,94.93978186645064
30,0.5,0.5,1.0,0.0,104.97165189483142,-253.533301457778,-243.07197470219117,94.51032513924457
31,0.5,0.5,1.0,0.0,104.74800393847393,-266.0598061933197,-255.6207678775872,94.30896562274148
32,0.5,0.5,1.0,0.0,106.19737801646635,-259.2415484203633,-248.6580675284947,95.61389712459777
33,0.5,0.5,1.0,0.0,106.52526926243272,-306.65251412470127,-296.0363560537807,95.90911119151215
34,0.5,0.5,1.0,0.0,104.05865835582784,-293.37406780603084,-283.003728698679,93.68831924847605
35,0.5,0.5,1.0,0.0,104.76837323165347,-287.34085417493594,-276.89978588417796,94.32730494089553
36,0.5,0.5,1.0,0.0,104.73707799891994,-275.08432934453276,-264.64637989252424,94.29912854691139
37,0.5,0.5,1.0,0.0,106.71954488516324,-246.47077613998644,-235.83525683454835,96.08402557972512
38,0.5,0.5,1.0,0.0,108.2051904598398,-233.03451702414674,-222.25094037637723,97.42161381207029
39,0.5,0.5,1.0,0.0,107.37700521446409,-273.4386700866488,-262.73762921220134,96.67596434001665
40,0.5,0.5,1.0,0.0,106.64433484394644,-260.63714170697244,-250.00911772815124,96.01631086512526
41,0.5,0.5,1.0,0.0,105.27169856393097,-260.4255782275563,-249.93434924417068,94.78046958054533
