,KG_Factor,KL_Factor,A_G,A_L,StrikePrice,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product
0,-0.1,-0.1,0.5,0.5,80.79384621785213,12.268239684675619,85.19622408717811,-247.42607979225727,75.30222026661225,-257.32008338875505,97.89130938444139
1,-0.1,-0.05,0.5,0.5,83.83486721751952,16.238418807947728,90.73559199504213,-254.60725355211622,75.30222026661225,-270.04062529448015,238.18896312294802
2,-0.1,-0.01,0.5,0.5,85.54896961588247,17.165948029194062,95.62491278454337,-259.8943663485394,75.30222026661225,-280.2170588190602,413.0118302148679
3,-0.1,0.0,0.5,0.5,85.96705486245878,17.231570160751506,96.88757223056223,-261.17582091995905,75.30222026661225,-282.76117290436883,465.9274198492312
4,-0.1,0.01,0.5,0.5,86.38001752533904,17.394517984924825,98.15919217144659,-262.4484112915087,75.30222026661225,-285.30538321593554,522.4411651062113
5,-0.1,0.05,0.5,0.5,87.97267406928576,18.310396584340214,103.40656348025061,-267.3787896384374,75.30222026661225,-295.483132686182,789.8541028076447
6,-0.1,0.1,0.5,0.5,89.69407566530872,20.30825772405921,110.38538466910168,-273.1228500569149,75.30222026661225,-308.2060145134918,1230.828426389662
7,-0.05,-0.1,0.5,0.5,80.37232969598188,7.3224578877922655,86.58422760339894,-250.75671286534035,80.02085707559282,-257.32008338875505,43.077832656451555
8,-0.05,-0.05,0.5,0.5,84.95991232367298,12.10262883477885,89.89710965324792,-260.16437270589546,80.02085707559282,-270.04062529448015,97.5403650855825
9,-0.05,-0.01,0.5,0.5,87.59247240579661,15.943605758239661,94.22813428721881,-266.0097815917709,80.02085707559282,-280.2170588190602,201.84672599052013
10,-0.05,0.0,0.5,0.5,88.03832334970873,16.155436148689848,95.41441012166925,-267.36761986767476,80.02085707559282,-282.76117290436883,236.9614752379412
11,-0.05,0.01,0.5,0.5,88.46909696410052,16.2780947914117,96.60841747486099,-268.7178239802938,80.02085707559282,-285.30538321593554,275.1471406976456
12,-0.05,0.05,0.5,0.5,90.17353857703739,17.243428724754697,101.5527544824206,-273.9471145969095,80.02085707559282,-295.483132686182,463.7113320498025
13,-0.05,0.1,0.5,0.5,92.1807405564848,18.333430557187715,108.08443708694682,-280.1424345968575,80.02085707559282,-308.2060145134918,787.5645203954939
14,-0.01,-0.1,0.5,0.5,81.44375895479486,6.370529602968094,88.32124817586211,-252.79067685354792,83.7918416377191,-257.32008338875505,20.51552357447484
15,-0.01,-0.05,0.5,0.5,84.58204575427416,7.910736149257552,90.8827088256865,-262.9497581560313,83.7918416377191,-270.04062529448015,50.280397126263324
16,-0.01,-0.01,0.5,0.5,88.29468921509601,11.97971075493089,93.6537933780572,-270.35510706081294,83.7918416377191,-280.2170588190602,97.25809230537679
17,-0.01,0.0,0.5,0.5,89.23960882641164,13.65947047686544,94.62217169991153,-271.93084353799975,83.7918416377191,-282.76117290436883,117.2960417200326
18,-0.01,0.01,0.5,0.5,89.89483241579188,14.635632577921488,95.68373625450732,-273.4134885888592,83.7918416377191,-285.30538321593554,141.4171576991419
19,-0.01,0.05,0.5,0.5,91.83881524690406,16.306071212829607,100.34586404712712,-278.9291102565114,83.7918416377191,-295.483132686182,274.0356582666096
20,-0.01,0.1,0.5,0.5,93.95293386128104,17.404560118206035,106.55871328059361,-285.43914284047867,83.7918416377191,-308.2060145134918,518.3304450892861
21,0.0,-0.1,0.5,0.5,81.77863003435058,6.212702300943562,88.78929377319014,-253.26477697230735,84.73398740026025,-257.32008338875505,16.445509954803864
22,0.0,-0.05,0.5,0.5,84.6297795510046,7.327385992962054,91.2524470612667,-263.5221656408602,84.73398740026025,-270.04062529448015,42.49031630401983
23,0.0,-0.01,0.5,0.5,87.98556755382342,10.208119261358863,93.76841778289393,-271.1826284241763,84.73398740026025,-280.2170588190602,81.62093244932822
24,0.0,0.0,0.5,0.5,89.11818478005404,11.921044869942891,94.59237614364508,-272.9027841216698,84.73398740026025,-282.76117290436883,97.18782900327139
25,0.0,0.01,0.5,0.5,90.08656106078281,13.672295505692437,95.56057609684018,-274.47879455132033,84.73398740026025,-285.30538321593554,117.21502245884336
26,0.0,0.05,0.5,0.5,92.24750436358458,16.137288831467664,100.08979968277083,-280.1273204334325,84.73398740026025,-295.483132686182,235.80097039869733
27,0.0,0.1,0.5,0.5,94.38157709275842,17.218059102924105,106.21815405384201,-286.72184783776584,84.73398740026025,-308.2060145134918,461.56941727462487
28,0.01,-0.1,0.5,0.5,82.12029082302917,6.053294995200656,89.26768038026154,-253.72847041168336,85.67606740441443,-257.32008338875505,12.899683772671564
29,0.01,-0.05,0.5,0.5,84.89076493070375,7.079299457281787,91.6552076490095,-264.0614850476601,85.67606740441443,-270.04062529448015,35.75011807783997
30,0.01,-0.01,0.5,0.5,87.89294335708122,9.2045268737159,94.00074374863269,-271.8923824974753,85.67606740441443,-280.2170588190602,69.30023604757162
31,0.01,0.0,0.5,0.5,88.857705532583,10.264004352840665,94.70567760945231,-273.7315626926645,85.67606740441443,-282.76117290436883,81.53386051511964
32,0.01,0.01,0.5,0.5,89.94148347582004,11.862397634162528,95.53094556624039,-275.45050503756124,85.67606740441443,-285.30538321593554,97.11862374751607
33,0.01,0.05,0.5,0.5,92.64107813131544,15.888675605208922,99.84397733185469,-281.3152227534607,85.67606740441443,-295.483132686182,200.72967178688123
34,0.01,0.1,0.5,0.5,94.80514860877001,17.12913803417489,105.88903421784033,-287.99304767520096,85.67606740441443,-308.2060145134918,408.5640279032517
35,0.05,-0.1,0.5,0.5,83.51510622574762,5.314526405038649,91.31051394324047,-255.453939202872,89.44436975736406,-257.32008338875505,3.4824941224927324
36,0.05,-0.05,0.5,0.5,86.0428016704464,6.207203335435123,93.44700483540618,-266.0379902471102,89.44436975736406,-270.04062529448015,16.021087445203737
37,0.05,-0.01,0.5,0.5,88.27395186530657,7.045280114168305,95.38529339905685,-274.2761352541252,89.44436975736406,-280.2170588190602,35.29457326041194
38,0.05,0.0,0.5,0.5,88.90107141887817,7.35426370686452,95.91864970078,-276.2868929611756,89.44436975736406,-282.76117290436883,41.91630078427587
39,0.05,0.01,0.5,0.5,89.73577639664487,7.999081536695057,96.48546489648436,-278.2642880831421,89.44436975736406,-285.30538321593554,49.57702071359543
40,0.05,0.05,0.5,0.5,93.34457249497397,11.932308516698379,99.28539799491938,-285.6421044337584,89.44436975736406,-295.483132686182,96.84583691868032
41,0.05,0.1,0.5,0.5,96.45340809038376,16.082011970650445,104.76188455156253,-292.88849971072966,89.44436975736406,-308.2060145134918,234.62625960166352
42,0.1,-0.1,0.5,0.5,,,,,,,
43,0.1,-0.05,0.5,0.5,87.77970312661412,5.291810755347323,95.96968588666243,-268.22501914787404,94.15407974046815,-270.04062529448015,3.296425678846182
44,0.1,-0.01,0.5,0.5,89.78373806227842,6.013729399464608,97.64911725941212,-276.72202130135577,94.15407974046815,-280.2170588190602,12.215287254493754
45,0.1,0.0,0.5,0.5,90.31138385714061,6.209289813327697,98.10386934179475,-278.8113832968212,94.15407974046815,-282.76117290436883,15.600837919319554
46,0.1,0.01,0.5,0.5,90.84110399713352,6.391707736310653,98.56966405591925,-280.89064617357315,94.15407974046815,-285.30538321593554,19.49364364109634
47,0.1,0.05,0.5,0.5,93.17256265210223,7.381392172345963,100.58438254308233,-289.0528298811694,94.15407974046815,-295.483132686182,41.34879414873044
48,0.1,0.1,0.5,0.5,97.63457226234182,12.123528781893933,103.97839049853361,-298.38170374782635,94.15407974046815,-308.2060145134918,96.51708194570567
