,Price_Change,Avg_G_Price,A_G,A_L,StrikePrice,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product,Gamma
0,0.6,,0.5,0.5,,,,,,,,
1,0.7,0.06029906054826937,0.5,0.5,40.00000000196204,29.999999950362756,74.33560686639264,-204.75418184457124,56.407758437711905,-206.4383055864208,30.192715179021565,0.9999999983454252
2,0.8,0.06876123472390708,0.5,0.5,40.68736803748671,29.99999993756388,75.6130048814868,-221.95231788746054,65.85852827336419,-231.87913854373684,96.83093988467562,0.999999997918796
3,0.85,0.07299232181172596,0.5,0.5,43.21933858740733,30.0,80.31839406714408,-234.69024318379365,70.58112228713134,-244.59955502239484,96.48966252535755,1.0
4,0.9,0.07722340889954481,0.5,0.5,45.75093612563088,30.0,85.02309005140185,-247.4274630508479,75.30222026661225,-257.32008338875505,96.16487413515665,1.0
5,0.95,0.08145449598736366,0.5,0.5,48.28187509215858,30.0,89.72656215249253,-260.16343741072484,80.02085707559282,-270.04062529448015,95.86507258885632,1.0
6,1.0,0.08568558307518252,0.5,0.5,50.81133405384369,30.0,94.42728382712934,-272.8966127486191,84.73398740026025,-282.76117290436883,95.62010571036438,1.0
7,1.05,0.08991667016300138,0.5,0.5,53.340427053433544,30.0,99.1273254014051,-285.6290959698932,89.44436975736406,-295.483132686182,95.41620043857593,1.0
8,1.1,0.09414775725082024,0.5,0.5,55.869582924775564,30.0,103.82748381592714,-298.3616980957893,94.15407974046815,-308.2060145134918,95.22805055511164,1.0
9,1.15,0.09837884433863911,0.5,0.5,58.39835188874626,30.0,108.52692320559287,-311.09379089270567,98.86128736445272,-320.9299837165226,95.0730578982504,1.0
10,1.2,0.10260993142645797,0.5,0.5,60.92659362256882,30.0,113.22538279593296,-323.8273238872873,103.56679783246634,-333.6550445014427,94.92187454903228,1.0
11,1.3,0.11107210560209568,0.5,0.5,65.98037460412478,30.0,122.61727970302533,-349.29676551285394,112.97090341213925,-359.111383976189,94.6755028488083,1.0
12,1.4,0.11953427977773338,0.5,0.5,71.03239580065951,30.0,132.00590624292963,-374.7632215993834,122.36457995302317,-384.5727020485175,94.57640174455975,1.0
