,Price_Change,Avg_G_Price,StrikePrice,A_G,A_L,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product,Gamma
0,0.6,0.08526004654766038,50.694790647214134,0.5,0.5,30.0,94.21070070564846,-265.59054480874306,88.42090300179038,-271.4822711363166,34.11190356314565,1.0
1,0.7,0.08536643067954093,50.732429424150695,0.5,0.5,30.0,94.28064823878995,-267.4263137688752,87.53151077257625,-274.2931628030537,46.34530809140726,1.0
2,0.8,0.08547281481142145,50.76264933599626,0.5,0.5,30.0,94.33680862595963,-269.2492381683114,86.61606739726113,-277.1046366004522,60.649498542882725,1.0
3,0.85,0.08552600687736173,50.77699159739755,0.5,0.5,30.0,94.36346214359071,-270.16030102470756,86.15029948154736,-278.5166688149875,68.6322079254288,1.0
4,0.9,0.085579198943302,50.78837808481094,0.5,0.5,30.0,94.38462267989232,-271.07190172207186,85.68014489807291,-279.9301725890578,77.1066219470173,1.0
5,0.95,0.08563239100924226,50.79987248028941,0.5,0.5,30.0,94.4059837514815,-271.9842882721653,85.20767016655522,-281.3451201432383,86.10386696590172,1.0
6,1.0,0.08568558307518252,50.81133405384369,0.5,0.5,30.0,94.42728382712934,-272.8966127486191,84.73398740026025,-282.76117290436883,95.62010571036438,1.0
7,1.05,0.08573877514112278,50.822460650157275,0.5,0.5,30.0,94.4479613843653,-273.8083037077806,84.25762680932475,-284.1786836544903,105.6776413272631,1.0
8,1.1,0.08579196720706306,50.83232493788957,0.5,0.5,30.0,94.46629307973987,-274.7176073575454,83.77656887434438,-285.5962001087755,116.28915625346482,1.0
9,1.15,0.08584515927300333,50.84153338122653,0.5,0.5,30.0,94.48340596033583,-275.6256706580714,83.29307326096685,-287.0137165630607,127.43602247251707,1.0
10,1.2,0.0858983513389436,50.85041811469213,0.5,0.5,30.0,94.49991726168831,-276.5331217504344,82.80830913905075,-288.4312994354106,139.1088308662526,1.0
11,1.3,0.08600473547082413,50.86811967311373,0.5,0.5,30.0,94.53281366388646,-278.3479792232856,81.837702702722,-291.26654692393146,164.00265041901412,1.0
12,1.4,0.08611111960270466,50.88403318340629,0.5,0.5,29.99999993783182,94.56238717490088,-280.15968704713066,80.86144330917367,-294.10179441245236,191.02003038221457,0.9999999979277273
