,KG_Factor,KL_Factor,A_G,A_L,StrikePrice,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product
0,-0.05,-0.05,0.5,0.5,88.55835069544747,11.966470513514489,89.80369038749718,-270.2718519471141,82.62829909677009,-277.47264949610815,51.66854001934087
1,-0.05,-0.02,0.5,0.5,88.55835069544747,11.966470513514489,89.80369038749718,-270.2718519471141,82.62829909677009,-277.47264949610815,51.66854001934087
2,-0.05,-0.01,0.5,0.5,88.55835069544747,11.966470513514489,89.80369038749718,-270.2718519471141,82.62829909677009,-277.47264949610815,51.66854001934087
3,-0.05,0.0,0.5,0.5,88.55835069544747,11.966470513514489,89.80369038749718,-270.2718519471141,82.62829909677009,-277.47264949610815,51.66854001934087
4,-0.05,0.01,0.5,0.5,88.55835069544747,11.966470513514489,89.80369038749718,-270.2718519471141,82.62829909677009,-277.47264949610815,51.66854001934087
5,-0.05,0.02,0.5,0.5,88.55835069544747,11.966470513514489,89.80369038749718,-270.2718519471141,82.62829909677009,-277.47264949610815,51.66854001934087
6,-0.05,0.05,0.5,0.5,88.55835069544747,11.966470513514489,89.80369038749718,-270.2718519471141,82.62829909677009,-277.47264949610815,51.66854001934087
7,-0.02,-0.05,0.5,0.5,88.47619504983396,12.012468766661367,92.64382111319236,-270.07661704399095,85.24778851540133,-277.47264949610815,54.70129711017915
8,-0.02,-0.02,0.5,0.5,88.47619504983396,12.012468766661367,92.64382111319236,-270.07661704399095,85.24778851540133,-277.47264949610815,54.70129711017915
9,-0.02,-0.01,0.5,0.5,88.47619504983396,12.012468766661367,92.64382111319236,-270.07661704399095,85.24778851540133,-277.47264949610815,54.70129711017915
10,-0.02,0.0,0.5,0.5,88.47619504983396,12.012468766661367,92.64382111319236,-270.07661704399095,85.24778851540133,-277.47264949610815,54.70129711017915
11,-0.02,0.01,0.5,0.5,88.47619504983396,12.012468766661367,92.64382111319236,-270.07661704399095,85.24778851540133,-277.47264949610815,54.70129711017915
12,-0.02,0.02,0.5,0.5,88.47619504983396,12.012468766661367,92.64382111319236,-270.07661704399095,85.24778851540133,-277.47264949610815,54.70129711017915
13,-0.02,0.05,0.5,0.5,88.47619504983396,12.012468766661367,92.64382111319236,-270.07661704399095,85.24778851540133,-277.47264949610815,54.70129711017915
14,-0.01,-0.05,0.5,0.5,88.4545608837788,12.05962282535077,93.5861273390924,-270.00743528980104,86.12091305125966,-277.47264949610815,55.729423754655755
15,-0.01,-0.02,0.5,0.5,88.4545608837788,12.05962282535077,93.5861273390924,-270.00743528980104,86.12091305125966,-277.47264949610815,55.729423754655755
