,KG_Factor,KL_Factor,A_G,A_L,StrikePrice,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product,Gamma
0,-0.1,-0.1,0.5,0.5,50.86531827817819,30.0,84.90035070112084,-273.92874547869656,76.23769261773694,-282.76117290436883,76.51229883490164,1.0
1,-0.1,-0.05,0.5,0.5,50.858166049857296,30.0,84.8884127694752,-273.45044415022903,76.23769261773694,-282.76117290436883,80.544508860806,1.0
2,-0.1,-0.01,0.5,0.5,50.852658500289124,30.0,84.87922000502056,-273.0677378084538,76.23769261773694,-282.76117290436883,83.76608485820609,1.0
3,-0.1,0.0,0.5,0.5,50.851331534155385,30.0,84.87700513850766,-272.9722569785729,76.23769261773694,-282.76117290436883,84.5695039225008,1.0
4,-0.1,0.01,0.5,0.5,50.850030865577075,30.0,84.87483416578631,-272.8767761501541,76.23769261773694,-282.76117290436883,85.3729338832323,1.0
5,-0.1,0.05,0.5,0.5,50.84316421837854,29.99999993666308,84.86337290319639,-272.49474884111925,76.23769261773694,-282.76117290436883,88.5548916445385,0.9999999978887694
6,-0.1,0.1,0.5,0.5,50.83500294349887,30.0,84.84975075142978,-272.02263390461843,76.23769261773694,-282.76117290436883,92.48092213677825,1.0
7,-0.05,-0.1,0.5,0.5,50.84432070846964,30.0,89.67694456340195,-273.89301114438985,80.48610178001532,-282.76117290436883,81.50588051360815,1.0
8,-0.05,-0.05,0.5,0.5,50.83716848018573,30.0,89.66432978223497,-273.4127227155023,80.48610178001532,-282.76117290436883,85.80220730081047,1.0
9,-0.05,-0.01,0.5,0.5,50.831660930785745,30.0,89.65461581230991,-273.0284241026561,80.48610178001532,-282.76117290436883,89.23484396130145,1.0
10,-0.05,0.0,0.5,0.5,50.83033396454747,30.0,89.65227536845838,-272.9325458524841,80.48610178001532,-282.76117290436883,90.0909016936427,1.0
11,-0.05,0.01,0.5,0.5,50.829033295937975,30.0,89.6499813071913,-272.83666760391037,80.48610178001532,-282.76117290436883,90.9469709402208,1.0
12,-0.05,0.05,0.5,0.5,50.82216664985806,29.999999936452937,89.63787022294385,-272.45303476681306,80.48610178001532,-282.76117290436883,94.33769331263098,0.9999999978817646
13,-0.05,0.1,0.5,0.5,50.814005404116806,30.0,89.62347578203187,-271.9789325980429,80.48610178001532,-282.76117290436883,98.52136225851774,1.0
14,-0.01,-0.1,0.5,0.5,50.82900153824427,30.0,93.49807858407894,-273.8669404915604,83.88454697223986,-282.76117290436883,85.50498446357766,1.0
15,-0.01,-0.05,0.5,0.5,50.821849309990355,30.0,93.48492232330071,-273.3852023363521,83.88454697223986,-282.76117290436883,90.01283673345975,1.0
16,-0.01,-0.01,0.5,0.5,50.81634176074377,30.0,93.47479138905686,-272.9997420523837,83.88454697223986,-282.76117290436883,93.61450772839584,1.0
17,-0.01,0.0,0.5,0.5,50.81501479441738,30.0,93.47235048331194,-272.90357385677356,83.88454697223986,-282.76117290436883,94.51272275927475,1.0
18,-0.01,0.01,0.5,0.5,50.81371412578469,30.0,93.46995795120723,-272.8074056628824,83.88454697223986,-282.76117290436883,95.41094979862997,1.0
19,-0.01,0.05,0.5,0.5,50.806847480681625,29.99999993629968,93.45732700993754,-272.42260148303995,83.88454697223986,-282.76117290436883,98.96887012040885,0.999999997876656
20,-0.01,0.1,0.5,0.5,50.798686271641195,30.0,93.44231476631009,-271.94704952390697,83.88454697223986,-282.76117290436883,103.3588801668803,1.0
21,0.0,-0.1,0.5,0.5,50.825320805113584,30.0,94.45327666822624,-273.86067650244115,84.73398740026025,-282.76117290436883,86.50649915882563,1.0
22,0.0,-0.05,0.5,0.5,50.81816857104652,30.0,94.43998502672883,-273.37859001140276,84.73398740026025,-282.76117290436883,91.06732728927345,1.0
23,0.0,-0.01,0.5,0.5,50.81266102018178,30.0,94.42974984833052,-272.99285060946943,84.73398740026025,-282.76117290436883,94.71133248753326,1.0
24,0.0,0.0,0.5,0.5,50.81133405384369,30.0,94.42728382712934,-272.8966127486191,84.73398740026025,-282.76117290436883,95.62010571036438,1.0
25,0.0,0.01,0.5,0.5,50.81003338520957,30.0,94.4248666773228,-272.80037488950694,84.73398740026025,-282.76117290436883,96.52889106523091,1.0
26,0.0,0.05,0.5,0.5,50.803166740337396,29.999999936262654,94.41210577179609,-272.41528927086324,84.73398740026025,-282.76117290436883,100.12868646320251,0.9999999978754218
27,0.0,0.1,0.5,0.5,50.79500551706881,30.0,94.39693903486528,-271.9393889222969,84.73398740026025,-282.76117290436883,104.57037521890433,1.0
28,0.01,-0.1,0.5,0.5,50.821711364450124,30.0,95.40846926078859,-273.85453384111804,85.58341687108688,-282.76117290436883,87.5081954126028,1.0
29,0.01,-0.05,0.5,0.5,50.81455913579316,30.0,95.3950422594216,-273.37210578115895,85.58341687108688,-282.76117290436883,92.12200935886491,1.0
30,0.01,-0.01,0.5,0.5,50.80905158628915,30.0,95.38470284239986,-272.9860926738842,85.58341687108688,-282.76117290436883,95.80835673150816,1.0
31,0.01,0.0,0.5,0.5,50.80772461972166,30.0,95.38221170533333,-272.88978649700016,85.58341687108688,-282.76117290436883,96.7276901353748,1.0
32,0.01,0.01,0.5,0.5,50.806423950901475,30.0,95.37976993747827,-272.79348032192854,85.58341687108688,-282.76117290436883,97.64703579483567,1.0
33,0.01,0.05,0.5,0.5,50.799557299405095,29.999999936226594,95.36687905483413,-272.4081187031328,85.58341687108688,-282.76117290436883,101.2887142640783,0.9999999978742198
34,0.01,0.1,0.5,0.5,50.79139610493396,30.0,95.35155790483407,-271.9318768027389,85.58341687108688,-282.76117290436883,105.78209161692993,1.0
35,0.05,-0.1,0.5,0.5,50.80795108736875,30.0,99.22919646270984,-273.831116162396,88.98104834776683,-282.76117290436883,91.51654416658327,1.0
36,0.05,-0.05,0.5,0.5,50.80079885877181,30.0,99.21522798176537,-273.34738590168706,88.98104834776683,-282.76117290436883,96.34238722164592,1.0
37,0.05,-0.01,0.5,0.5,50.79529130917353,30.0,99.20447159995072,-272.960329335602,88.98104834776683,-282.76117290436883,100.19817203194769,1.0
38,0.05,0.0,0.5,0.5,50.79396434217846,30.0,99.20188000029287,-272.86376271773725,88.98104834776683,-282.76117290436883,101.15976331355785,1.0
39,0.05,0.01,0.5,0.5,50.79266367303135,30.0,99.19933976098842,-272.7671961018608,88.98104834776683,-282.76117290436883,102.12136734500359,1.0
40,0.05,0.05,0.5,0.5,50.78579700364311,29.999999936088678,99.18592898417302,-272.38078229990526,88.98104834776683,-282.76117290436883,105.93064707782301,0.9999999978696226
41,0.05,0.1,0.5,0.5,50.777635837834566,30.0,99.1699900238068,-271.9032381303625,88.98104834776683,-282.76117290436883,110.63086413459656,1.0
42,0.1,-0.1,0.5,0.5,50.792011527088235,30.0,104.00475717406181,-273.80398970996976,93.22739110634907,-282.76117290436883,96.53484222160338,1.0
43,0.1,-0.05,0.5,0.5,50.78485929840049,30.0,103.9901118433187,-273.31875101224387,93.22739110634907,-282.76117290436883,101.62614990558939,1.0
44,0.1,-0.01,0.5,0.5,50.77935174869834,30.0,103.97883425552143,-272.9304857296092,93.22739110634907,-282.76117290436883,105.69407427672618,1.0
45,0.1,0.0,0.5,0.5,50.7780247810777,30.0,103.97611707734688,-272.83361742318687,93.22739110634907,-282.76117290436883,106.70857342910229,1.0
46,0.1,0.01,0.5,0.5,50.77672411147395,30.0,103.9734537485628,-272.73674911905186,93.22739110634907,-282.76117290436883,107.72308594911343,1.0
47,0.1,0.05,0.5,0.5,50.76985742064258,29.999999935928727,103.95939310211196,-272.3491164930277,93.22739110634907,-282.76117290436883,111.74221018650903,0.999999997864291
48,0.1,0.1,0.5,0.5,50.761696289315466,30.0,103.94268188213232,-271.8700638100846,93.22739110634907,-282.76117290436883,116.70140081603269,1.0
