,Production_Change,Avg_Production,A_G,A_L,StrikePrice,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product,Gamma
0,0.6,56.80700928544175,0.5,0.5,51.096981289362816,30.0,56.27371329714143,-277.05538740562724,50.737960790928156,-282.76117290436883,31.585816374574097,1.0
1,0.7,66.27048774565624,0.5,0.5,51.005038910337,30.0,65.82615780326489,-276.005189335673,59.24065142783147,-282.76117290436883,44.491572863969964,1.0
2,0.8,75.73396620587074,0.5,0.5,50.929215706412094,30.0,75.36765249838089,-274.9648044434156,67.74077974047758,-282.76117290436883,59.46191022542101,1.0
3,0.85,80.46570543597798,0.5,0.5,50.89616331509583,30.0,80.13528733533155,-274.44564674739183,71.98928345545856,-282.76117290436883,67.73830833792,1.0
4,0.9,85.19744466608525,0.5,0.5,50.86531827817819,30.0,84.90035070112084,-273.92874547869656,76.23769261773694,-282.76117290436883,76.51229883490164,1.0
5,0.95,89.92918389619248,0.5,0.5,50.83716848018573,30.0,89.66432978223497,-273.4127227155023,80.48610178001532,-282.76117290436883,85.80220730081047,1.0
6,1.0,94.66092312629972,0.5,0.5,50.81133405384369,30.0,94.42728382712934,-272.8966127486191,84.73398740026025,-282.76117290436883,95.62010571036438,1.0
7,1.05,99.39266235640697,0.5,0.5,50.78579700364311,29.999999936088678,99.18592898417302,-272.38078229990526,88.98104834776683,-282.76117290436883,105.93064707782301,0.9999999978696226
8,1.1,104.12440158651421,0.5,0.5,50.761696289315466,30.0,103.94268188213232,-271.8700638100846,93.22739110634907,-282.76117290436883,116.70140081603269,1.0
9,1.15,108.85614081662146,0.5,0.5,50.73816180914897,29.999999934651182,108.69608628853524,-271.3587764752775,97.47338932220424,-282.76117290436883,127.96563981366648,0.9999999978217061
10,1.2,113.58788004672874,0.5,0.5,50.71548869535639,30.0,113.44696314960376,-270.853228812016,101.7193875380594,-282.76117290436883,139.6513147211106,1.0
11,1.3,123.05135850694322,0.5,0.5,50.674684641566394,29.999999933705915,122.94686309773869,-269.8409016265708,110.20572274039606,-282.76117290436883,164.61898980536702,0.9999999977901972
12,1.4,132.51483696715772,0.5,0.5,50.637531891996076,29.999999932986732,132.4408669853567,-268.83438305706363,118.6912768744575,-282.76117290436883,191.48765196107905,0.9999999977662244
