,A_G,A_L,Revenue_G,Revenue_L
0,0.0,0.0,,
1,0.0,0.1,93.01209254118723,-264.60438439418425
2,0.0,0.1,98.87280000690515,-230.63240072799755
3,0.0,0.1,96.06625104052691,-286.43438935883495
4,0.0,0.1,98.45517454379356,-246.53631410399134
5,0.0,0.1,97.22157202153932,-257.3533148511487
6,0.0,0.1,97.06409949220388,-218.25843150399908
7,0.0,0.1,98.21383937337,-271.75545473413126
8,0.0,0.1,95.23128752734677,-295.84881510252984
9,0.0,0.1,98.61993500000706,-232.79631667255816
10,0.0,0.1,95.53072815253674,-239.11856803832944
11,0.0,0.1,96.11376052925783,-274.02306424748537
12,0.0,0.1,97.47939360888803,-251.99863131132383
13,0.0,0.1,95.08977358394209,-276.82412846831033
14,0.0,0.1,96.83756260714256,-258.1572654365588
15,0.0,0.1,98.73562768214218,-253.60250073582975
16,0.0,0.1,98.45662512038452,-303.21039777534145
17,0.0,0.1,94.06025291832296,-250.2857306146487
18,0.0,0.1,96.60640513566335,-268.4416365586527
19,0.0,0.1,94.04804571296793,-238.7979455859821
20,0.0,0.1,98.44381924139871,-261.17472910768595
21,0.0,0.1,97.31503176245177,-225.92838461330504
22,0.0,0.1,95.82187494642574,-238.07802339149254
23,0.0,0.1,95.33144220633096,-260.9512135892486
24,0.0,0.1,92.1511510976111,-274.26545739567115
25,0.0,0.1,94.11486818353809,-210.08628729634938
26,0.0,0.1,98.96606764615572,-267.89956616263396
27,0.0,0.1,98.07849569508784,-286.8316593024177
28,0.0,0.1,98.28243817671404,-242.201432357721
29,0.0,0.1,97.52690825099583,-261.43030207267935
30,0.0,0.1,95.99080135268662,-269.4466996807318
31,0.0,0.1,95.5565903762089,-244.1182399391555
32,0.0,0.1,95.35300173329092,-256.6648039881366
33,0.0,0.1,96.67237932307461,-249.71654972697155
34,0.0,0.1,96.97086152196528,-297.0981063842338
35,0.0,0.1,94.72548456766073,-284.04089401786376
36,0.0,0.1,95.37154407467047,-277.9440250179529
37,0.0,0.1,95.34305575729081,-265.6903071029036
38,0.0,0.1,97.14771227896718,-236.8989435337904
39,0.0,0.1,98.50010812166408,-223.32943468597102
40,0.0,0.1,97.74620402642059,-263.8078688986053
41,0.0,0.1,97.07924793672808,-251.07205479975406
42,0.0,0.1,95.82972541919762,-250.98360508282295
43,0.0,0.1,98.03347256836442,-240.4026001979824
44,0.0,0.1,93.56101097832331,-296.0993967530148
45,0.0,0.1,96.08784381060896,-272.0204579540648
46,0.0,0.1,95.47788060489655,-236.23041894903423
47,0.0,0.1,95.94564052040727,-285.6609402009219
48,0.0,0.1,98.88536597871695,-310.3824134757802
49,0.0,0.1,95.69057388676039,-246.6762089206687
50,0.0,0.1,97.396500433446,-237.13887772069657
51,0.0,0.1,96.89967810869724,-245.97474426251904
