,A_G,A_L,StrikePrice,ContractAmount,Utility_G,Utility_L,NashProductLog,Nash_Product,ThreatPoint_G,ThreatPoint_L,Gamma
0,0.0,0.0,,,,,,,,,
1,0.0,0.1,51.00212686123023,30.0,96.53150579527356,-258.74767637189524,0.05446720852692155,1.0559778487767828,95.47544587972347,-259.8035740497056,1.0
2,0.0,0.25,51.83940111195199,29.999999938121206,98.11621115722615,-265.7729291886736,0.9708744459700619,2.6402522081096285,95.47544587972347,-268.4126736202043,0.9999999979373735
3,0.0,0.5,53.23572638400821,29.999999936090987,100.75902997852882,-277.4816838555464,1.6642159816864943,5.281530809220558,95.47544587972347,-282.76117290436883,0.9999999978696996
4,0.0,0.75,54.633137871471796,29.999999933642517,103.40390467458087,-289.1904382713924,2.0698755137634635,7.923836647846572,95.47544587972347,-297.10967218853335,0.9999999977880839
5,0.0,0.9,55.472106611494624,29.999999931417697,104.99181719036262,-296.2156906809581,2.2523137490374823,9.50971349160246,95.47544587972347,-305.71877175903205,0.9999999977139232
6,0.0,1.0,56.03163663626597,29.99999992903083,106.05083725455358,-300.899192047213,2.3577520509111967,10.567170272222318,95.47544587972347,-311.45817147269787,0.9999999976343611
7,0.1,0.0,,,,,,,,,
8,0.1,0.1,50.52430469357419,30.0,95.2804813265819,-257.8434449708079,0.6712712039905286,1.9567231345699203,93.32715418383083,-259.8035740497056,1.0
9,0.1,0.25,51.36157984690671,29.999999956648836,96.8594437680904,-264.8689103309221,1.2635667516279934,3.5380182415872605,93.32715418383083,-268.4126736202043,0.9999999985549612
10,0.1,0.5,52.757906661374655,29.999999962624564,99.49268516802856,-276.5780193042508,1.8204003448979242,6.174329816591192,93.32715418383083,-282.76117290436883,0.9999999987541521
11,0.1,0.75,54.15531985385171,29.99999996458569,102.12797529731785,-288.2871283313872,2.176076633792092,8.811666955449555,93.32715418383083,-297.10967218853335,0.999999998819523
12,0.1,0.9,54.99428975290729,29.999999965235986,103.71013374957663,-295.312593763231,2.3412827738080035,10.394561885949765,93.32715418383083,-305.71877175903205,0.9999999988411995
13,0.1,1.0,55.55382067867899,29.999999965560487,104.7653165213415,-299.9962373858462,2.4379923991874826,11.450030562234616,93.32715418383083,-311.45817147269787,0.9999999988520163
14,0.25,0.0,49.23804271074193,29.881688360376238,92.35794997117395,-251.7903625639974,0.8169109111301924,2.263496883697547,90.10471663999186,-254.06417433603977,0.9960562786792079
15,0.25,0.1,49.80101581121846,29.999999884010727,93.40394321568154,-256.47469199575715,1.198161298059702,3.314017826237311,90.10471663999186,-259.8035740497056,0.9999999961336908
16,0.25,0.25,50.63829098015646,30.0,94.97428873511355,-263.5004765145002,1.587362601233984,4.890832826896085,90.10471663999186,-268.4126736202043,1.0
17,0.25,0.5,52.03461781010539,29.99999995352977,97.59315964758063,-275.21011743621807,2.0175231232123263,7.519676536041255,90.10471663999186,-282.76117290436883,0.9999999984509923
18,0.25,0.75,53.432031017880924,29.99999995860907,100.21406810931198,-286.9197584024444,2.3174286334349596,10.149542528973363,90.10471663999186,-297.10967218853335,0.9999999986203023
19,0.25,0.9,54.27100092853733,29.999999960279695,101.7875921935956,-293.94554300240236,2.4619751713286195,11.72795339518235,90.10471663999186,-305.71877175903205,0.9999999986759898
20,0.25,1.0,54.83053186468786,29.999999961110607,102.83701648494433,-298.62939940877243,2.547915260380196,12.780432117390927,90.10471663999186,-311.45817147269787,0.9999999987036869
21,0.5,0.0,48.00992497980371,29.884620240230557,89.2404546538345,-249.47462615555335,1.5146464503947323,4.547812965101279,84.73398740026025,-254.06417433603977,0.9961540080076853
22,0.5,0.1,48.57773199578347,29.99999976243267,90.27637974655079,-254.1597478633431,1.721493237098907,5.5928737185297805,84.73398740026025,-259.8035740497056,0.9999999920810889
23,0.5,0.25,49.415007190093306,29.99999990248892,91.83236371487266,-261.18607218703676,1.9688164645764452,7.162194758915491,84.73398740026025,-268.4126736202043,0.9999999967496307
24,0.5,0.5,50.81133405384369,30.0,94.42728382712934,-272.8966127486191,2.280190552987329,9.778543562696164,84.73398740026025,-282.76117290436883,1.0
25,0.5,0.75,52.20874742732381,29.999999929433553,97.02422310014967,-284.6071536630616,2.517366237674778,12.395905762858236,84.73398740026025,-297.10967218853335,0.9999999976477851
26,0.5,0.9,53.04771854789411,29.9999998157971,98.5833587653384,-291.63348036724284,2.6366816481767144,13.966779935629658,84.73398740026025,-305.71877175903205,0.9999999938599033
27,0.5,1.0,53.60724817098704,29.999999953399808,99.6231831356958,-296.31769407583806,2.7090028035905505,15.014295845372978,84.73398740026025,-311.45817147269787,0.9999999984466602
28,0.75,0.0,46.759200336956496,29.88760973150771,86.12295954355714,-247.11579439480835,1.924742475761756,6.853383526253819,79.36325816052863,-254.06417433603977,0.9962536577169236
29,0.75,0.1,47.33165625328256,29.999999572917144,87.14881635182644,-251.80167229044685,2.065973867506231,7.892980873547442,79.36325816052863,-259.8035740497056,0.9999999857639048
30,0.75,0.25,48.16893149270329,29.999999861240813,88.69043877606418,-258.8285464738892,2.2465195451112776,9.454771598331861,79.36325816052863,-268.4126736202043,0.9999999953746938
31,0.75,0.5,49.565258395158416,29.999999920142788,91.2614080912402,-270.54000349011903,2.4897752822970167,12.058566042692512,79.36325816052863,-282.76117290436883,0.999999997338093
32,0.75,0.75,50.96267166468019,30.0,93.8343776762543,-282.25146052003333,2.6853527948923626,14.663373631159084,79.36325816052863,-297.10967218853335,1.0
